"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",352327757,154148254,198179503,56.249,5874060.000,2565912.000,24999999360.000,10920521472.000,78923906048,3007518720.000,1313746944.000,24060149760.000,10509975552.000,24060149.760,10509975.552,24060.150,10509.976,15329884,120662,27577235,"00:00:00.100","00:01:00.080"
"Traffic Item 2",352327758,154142593,198185165,56.250,5874061.000,2565876.500,25000003616.000,10920370384.000,78921007616,3007519232.000,1313728768.000,24060153856.000,10509830144.000,24060153.856,10509830.144,24060.154,10509.830,15327950,121345,27530580,"00:00:00.100","00:01:00.080"
"Traffic Item 3",352327757,154138206,198189551,56.251,5874060.000,2565812.500,24999999360.000,10920098000.000,78918761472,3007518720.000,1313696000.000,24060149760.000,10509568000.000,24060149.760,10509568.000,24060.150,10509.568,15325796,121762,27595247,"00:00:00.100","00:01:00.080"
"Traffic Item 4",352327758,154132167,198195591,56.253,5874060.000,2565839.000,24999999360.000,10920210784.000,78915669504,3007518720.000,1313709568.000,24060149760.000,10509676544.000,24060149.760,10509676.544,24060.150,10509.677,15323883,122657,27598937,"00:00:00.100","00:01:00.080"
