"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",100000,100000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22160,0,87600,"",0,120658,77070,183817,"00:00:00.098","00:00:50.098"
"Traffic Item 2",81741086,81740915,171,0.000,1409774.500,1409774.500,6000000272.000,721804544.000,5774436352.000,5774436.352,5774.436,8605,0,65590,11356,80281280,119525,77795,185212,"00:00:00.098","00:00:58.080"
"Traffic Item 3",81741086,81740915,171,0.000,1409774.000,1409774.500,5999998144.000,721804288.000,5774434304.000,5774434.304,5774.434,6304,0,65620,7461,80306407,119875,77955,185422,"00:00:00.098","00:00:58.080"
"Traffic Item 4",81741087,81740916,171,0.000,1409774.500,1409775.000,6000000272.000,721804544.000,5774436352.000,5774436.352,5774.436,4598,0,66042,7196,80300139,120121,78267,197585,"00:00:00.098","00:00:58.080"
