"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",183214080,180981193,2232887,1.219,3054511.000,3054487.500,12999998816.000,1563909632.000,12511277056.000,12511277.056,12511.277,15827,0,4523637,16343,173746198,152839,75180,5490612,"00:00:00.101","00:01:00.072"
"Traffic Item 2",183214080,180981222,2232858,1.219,3054511.000,3054485.500,12999998816.000,1563909632.000,12511277056.000,12511277.056,12511.277,15780,0,4523760,16168,173690659,153674,75927,5491070,"00:00:00.101","00:01:00.072"
"Traffic Item 3",169120690,167058907,2061783,1.219,2819549.000,2819539.000,12000000544.000,1443609088.000,11548872704.000,11548872.704,11548.873,25174,0,3944587,25545,163938808,153048,75100,5517970,"00:00:00.101","00:01:00.072"
"Traffic Item 4",169120691,167059338,2061353,1.219,2819549.500,2819535.500,12000002672.000,1443609344.000,11548874752.000,11548874.752,11548.875,21258,0,2164427,21066,163981529,153510,75502,5523560,"00:00:00.101","00:01:00.072"
