Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7032471396.00,3002703728.00,2201982640.00,179.00,2231.00,13580.00,0.00,
52,2.34,7039586051.00,3002702267.00,2201981672.00,186.00,2250.00,13410.00,0.00,
53,2.34,7041306653.00,3002698307.00,2201978680.00,180.00,2391.00,11875.00,0.00,
54,2.35,7041356415.00,3002700410.00,2201980264.00,196.00,2260.00,13191.00,0.00,
*,0.32,82930342280.00,259433724028.00,246622198240.00,47779.00,147801.00,2528452.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4985135442.00,3002696008.00,2201977096.00,277.00,17345.00,1447071.00,0.00,
38,1.66,4981463650.00,3002696150.00,2201977184.00,187.00,18874.00,1561033.00,0.00,
39,1.66,4983036814.00,3002697308.00,2201978064.00,193.00,17628.00,1537004.00,0.00,
40,1.66,4983963780.00,3002696532.00,2201977448.00,171.00,18641.00,1589791.00,0.00,
51,1.98,5950880390.00,3002682341.00,2201967064.00,267.00,18211.00,1050530.00,0.00,
52,1.98,5953529981.00,3002683240.00,2201967768.00,234.00,17651.00,1071683.00,0.00,
53,1.98,5949957554.00,3002685819.00,2201969616.00,267.00,17843.00,1080304.00,0.00,
54,1.98,5950350256.00,3002682605.00,2201967328.00,272.00,19874.00,1027322.00,0.00,
*,0.29,75902656168.00,259431722294.00,246620286440.00,66870.00,347706.00,21023865.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5956192854.00,2999674153.00,2199760992.00,246.00,1510.00,3364271.00,0.00,
38,1.97,5918023705.00,2999676907.00,2199763104.00,129.00,1589.00,4801404.00,0.00,
39,2.00,5986805165.00,2999677757.00,2199763720.00,134.00,1688.00,4682687.00,0.00,
40,1.99,5983096047.00,2999676949.00,2199763104.00,134.00,1668.00,4586148.00,0.00,
51,2.35,7035388229.00,2999683316.00,2199767768.00,131.00,1520.00,7152.00,0.00,
52,2.35,7035673236.00,2999683019.00,2199767504.00,129.00,1507.00,5034.00,0.00,
53,2.35,7038809894.00,2999683852.00,2199768120.00,126.00,1552.00,8128.00,0.00,
54,2.35,7036991781.00,2999679270.00,2199764776.00,138.00,1441.00,8011.00,0.00,
*,0.32,83988924628.00,259173385695.00,246374704488.00,24654.00,134421.00,19212398.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5955853369.00,2999656025.00,2199747704.00,265.00,1366.00,3353711.00,0.00,
38,1.97,5920274113.00,2999663155.00,2199752896.00,129.00,1447.00,4801914.00,0.00,
39,2.00,5987425223.00,2999660130.00,2199750696.00,118.00,1449.00,4698962.00,0.00,
40,2.00,5985522882.00,2999657710.00,2199748936.00,124.00,1513.00,4583961.00,0.00,
51,2.35,7035925803.00,2999660844.00,2199751312.00,122.00,1413.00,5896.00,0.00,
52,2.35,7035906298.00,2999661180.00,2199751488.00,129.00,1401.00,5834.00,0.00,
53,2.35,7037070834.00,2999655594.00,2199747440.00,130.00,1512.00,9191.00,0.00,
54,2.35,7037297305.00,2999657726.00,2199748936.00,138.00,1349.00,9452.00,0.00,
*,0.32,83996170362.00,259170749741.00,246372186720.00,24755.00,135102.00,19290345.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.98,5951580911.00,2999822618.00,2199869936.00,226.00,1467.00,3370312.00,0.00,
38,1.97,5921345066.00,2999815781.00,2199864920.00,124.00,1552.00,4780447.00,0.00,
39,2.00,5987128107.00,2999817478.00,2199866152.00,117.00,1635.00,4692698.00,0.00,
40,1.99,5983916993.00,2999817995.00,2199866592.00,126.00,1658.00,4611568.00,0.00,
51,2.35,7035038947.00,2999818349.00,2199866768.00,125.00,1541.00,8206.00,0.00,
52,2.35,7035580800.00,2999817315.00,2199866064.00,969.00,3349.00,9005.00,0.00,
53,2.35,7037872454.00,2999820172.00,2199868176.00,125.00,1711.00,9497.00,0.00,
54,2.35,7035955083.00,2999817529.00,2199866240.00,121.00,1482.00,8633.00,0.00,
*,0.32,83993522427.00,259183424360.00,246384262520.00,24225.00,133997.00,19234562.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
