Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.35,7056000217.00,2999712058.00,2199788800.00,199.00,2189.00,25635.00,0.00,
52,2.34,7031630508.00,2999713695.00,2199790032.00,81.00,2267.00,10204.00,0.00,
53,2.34,7031705579.00,2999711438.00,2199788184.00,176.00,2429.00,19023.00,0.00,
54,2.34,7031617504.00,2999706730.00,2199784928.00,82.00,2357.00,8964.00,0.00,
*,0.32,82805763613.00,259176221936.00,246377398344.00,63392.00,131710.00,3381596.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.67,4997162614.00,2999764340.00,2199827168.00,320.00,13948.00,1595808.00,0.00,
38,1.66,4970845554.00,2999768807.00,2199830512.00,145.00,13572.00,3504507.00,0.00,
39,1.66,4967726954.00,2999762277.00,2199825672.00,135.00,12234.00,1536072.00,0.00,
40,1.66,4992948282.00,2999763900.00,2199826992.00,99.00,12585.00,1547449.00,0.00,
51,1.99,5971141619.00,2999760166.00,2199824176.00,217.00,13374.00,1089307.00,0.00,
52,1.99,5964047677.00,2999760897.00,2199824616.00,207.00,12986.00,1133705.00,0.00,
53,1.99,5964769009.00,2999759501.00,2199823648.00,216.00,12601.00,1060472.00,0.00,
54,1.99,5962067230.00,2999758117.00,2199822592.00,169.00,12997.00,994495.00,0.00,
*,0.29,75814979374.00,259178793010.00,246379834800.00,52272.00,264574.00,19947714.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5979380292.00,2999697433.00,2199778064.00,263.00,1455.00,4781076.00,0.00,
38,1.94,5819638004.00,2999698105.00,2199778504.00,65.00,1553.00,22960694.00,0.00,
39,1.99,5983776158.00,2999703399.00,2199782464.00,66.00,1726.00,4525179.00,0.00,
40,2.00,5989010338.00,2999700816.00,2199780440.00,65.00,1808.00,4679838.00,0.00,
51,2.35,7047135350.00,2999705742.00,2199784224.00,53.00,1541.00,8210.00,0.00,
52,2.35,7036564527.00,2999710384.00,2199787568.00,64.00,1682.00,9509.00,0.00,
53,2.35,7039409156.00,2999707560.00,2199785544.00,58.00,1660.00,6883.00,0.00,
54,2.34,7033220875.00,2999711813.00,2199788624.00,66.00,1621.00,6046.00,0.00,
*,0.32,83911214845.00,259175671924.00,246376883016.00,34373.00,126477.00,39498103.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977315769.00,2999705473.00,2199784048.00,259.00,1334.00,4791999.00,0.00,
38,1.94,5817558390.00,2999706072.00,2199784488.00,73.00,1515.00,22931062.00,0.00,
39,2.00,5987128166.00,2999707257.00,2199785368.00,71.00,1668.00,4540117.00,0.00,
40,2.00,5991223297.00,2999707234.00,2199785280.00,69.00,1696.00,4707190.00,0.00,
51,2.35,7046822386.00,2999705189.00,2199783784.00,67.00,1496.00,8769.00,0.00,
52,2.34,7033375534.00,2999700615.00,2199780440.00,79.00,1625.00,8174.00,0.00,
53,2.35,7034834965.00,2999702938.00,2199782112.00,73.00,1491.00,9390.00,0.00,
54,2.35,7034813882.00,2999703530.00,2199782640.00,73.00,1580.00,10014.00,0.00,
*,0.32,83916762232.00,259174009579.00,246375302096.00,36035.00,129986.00,39595513.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981922594.00,2999898663.00,2199925640.00,239.00,1464.00,4811253.00,0.00,
38,1.94,5821086308.00,2999896808.00,2199924320.00,1123.00,3208.00,22947989.00,0.00,
39,2.00,5984892898.00,2999896158.00,2199923792.00,67.00,1759.00,4523554.00,0.00,
40,2.00,5990164537.00,2999894394.00,2199922560.00,57.00,1788.00,4691280.00,0.00,
51,2.35,7042566414.00,2999897185.00,2199924584.00,59.00,1616.00,8519.00,0.00,
52,2.34,7033864129.00,2999895242.00,2199923176.00,61.00,1695.00,6978.00,0.00,
53,2.34,7034176661.00,2999897007.00,2199924496.00,55.00,1766.00,7924.00,0.00,
54,2.34,7025037222.00,2999895199.00,2199923176.00,60.00,1748.00,6900.00,0.00,
*,0.32,83908677322.00,259190559119.00,246391017312.00,35045.00,129240.00,39514091.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5974726114.00,2999723953.00,2199797600.00,206.00,1310.00,4769079.00,0.00,
38,1.94,5815532546.00,2999723654.00,2199797336.00,71.00,1496.00,22875743.00,0.00,
39,2.00,5986850144.00,2999719616.00,2199794432.00,66.00,1612.00,4539124.00,0.00,
40,2.00,5985767171.00,2999726685.00,2199799536.00,66.00,1603.00,4671051.00,0.00,
51,2.35,7051852363.00,2999725175.00,2199798480.00,68.00,1436.00,9660.00,0.00,
52,2.35,7039601520.00,2999724268.00,2199797864.00,69.00,1494.00,7217.00,0.00,
53,2.35,7040244239.00,2999723024.00,2199796896.00,63.00,1549.00,8760.00,0.00,
54,2.34,7028445095.00,2999723463.00,2199797160.00,66.00,1546.00,8765.00,0.00,
*,0.32,83922225022.00,259177263159.00,246378382624.00,47728.00,134448.00,39749748.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5978850776.00,2999807939.00,2199859112.00,161.00,1394.00,4810584.00,0.00,
38,1.94,5821214231.00,2999809132.00,2199860080.00,59.00,1586.00,22974938.00,0.00,
39,1.99,5984162699.00,2999816479.00,2199865360.00,126.00,2244.00,4542347.00,0.00,
40,2.00,5987611198.00,2999809504.00,2199860344.00,62.00,1677.00,4669066.00,0.00,
51,2.35,7047049242.00,2999815968.00,2199865008.00,71.00,1503.00,10106.00,0.00,
52,2.35,7034763128.00,2999817720.00,2199866328.00,68.00,1593.00,9746.00,0.00,
53,2.35,7035326952.00,2999815809.00,2199864920.00,61.00,1700.00,10140.00,0.00,
54,2.34,7033138322.00,2999819211.00,2199867384.00,79.00,1645.00,9735.00,0.00,
*,0.32,84019783136.00,259183377734.00,246384203384.00,69543.00,164564.00,43301813.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5982723440.00,3002699398.00,2201979560.00,257.00,1302.00,4814012.00,0.00,
38,1.94,5823319894.00,3002701507.00,2201981056.00,72.00,1493.00,22998935.00,0.00,
39,2.00,5993361264.00,3002701257.00,2201980968.00,77.00,1642.00,4534060.00,0.00,
40,2.00,5995797412.00,3002702582.00,2201981848.00,68.00,1632.00,4677567.00,0.00,
51,2.35,7059649609.00,3002696603.00,2201977536.00,70.00,1460.00,10824.00,0.00,
52,2.34,7040308554.00,3002698492.00,2201978856.00,79.00,1624.00,10764.00,0.00,
53,2.34,7039507550.00,3002699554.00,2201979648.00,72.00,1637.00,11357.00,0.00,
54,2.34,7038227572.00,3002697620.00,2201978328.00,79.00,1566.00,11603.00,0.00,
