Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7034065141.00,2999733459.00,2199804464.00,154.00,2321.00,9522.00,0.00,
52,2.35,7035179309.00,2999731798.00,2199803320.00,146.00,2259.00,7426.00,0.00,
53,2.35,7037866357.00,2999726369.00,2199799272.00,149.00,2403.00,12578.00,0.00,
54,2.35,7034641511.00,2999729755.00,2199801736.00,147.00,2286.00,10488.00,0.00,
*,0.32,82844296532.00,259177488650.00,246378598928.00,44531.00,141365.00,2413765.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.64,4930737297.00,3002743405.00,2202011856.00,328.00,17950.00,1731517.00,0.00,
38,1.66,4969614080.00,3002746150.00,2202013880.00,168.00,16244.00,1380034.00,0.00,
39,1.66,4980022501.00,3002741283.00,2202010272.00,178.00,17802.00,1384929.00,0.00,
40,1.66,4999030604.00,3002742445.00,2202011152.00,184.00,16696.00,1492320.00,0.00,
51,1.98,5942354635.00,3002738721.00,2202008424.00,262.00,16960.00,990269.00,0.00,
52,1.97,5918723841.00,3002741116.00,2202010096.00,216.00,16189.00,1026865.00,0.00,
53,1.98,5955438172.00,3002742674.00,2202011328.00,231.00,17355.00,1091449.00,0.00,
54,1.98,5947418206.00,3002736698.00,2202006928.00,183.00,17163.00,1084678.00,0.00,
*,0.29,75700259882.00,259436119918.00,246624482720.00,33001.00,297365.00,17016611.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.90,5707054059.00,3002681363.00,2201966272.00,296.00,1480.00,7285079.00,0.00,
38,1.95,5845740394.00,3002685708.00,2201969528.00,138.00,1564.00,3426584.00,0.00,
39,1.97,5930244611.00,3002688346.00,2201971464.00,122.00,1774.00,2528610.00,0.00,
40,2.00,5997863880.00,3002685918.00,2201969616.00,127.00,1750.00,4664163.00,0.00,
51,2.34,7035782799.00,3002703242.00,2201982376.00,124.00,1588.00,3770.00,0.00,
52,2.25,6769079537.00,3002700653.00,2201980528.00,132.00,1629.00,5480.00,0.00,
53,2.35,7046164323.00,3002702819.00,2201982024.00,129.00,1681.00,10764.00,0.00,
54,2.34,7040483031.00,3002702688.00,2201982024.00,120.00,1635.00,7329.00,0.00,
