Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7033039267.00,2999899140.00,2199926080.00,153.00,2325.00,13464.00,0.00,
52,2.34,7034094698.00,2999899344.00,2199926168.00,155.00,2267.00,10960.00,0.00,
53,2.34,7031965271.00,2999893612.00,2199921856.00,143.00,2364.00,12372.00,0.00,
54,2.34,7030138065.00,2999898856.00,2199925728.00,147.00,2205.00,14236.00,0.00,
*,0.32,82802894692.00,259189450237.00,246389995720.00,45595.00,133438.00,2478440.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4973025661.00,2999862067.00,2199898712.00,465.00,17500.00,1530466.00,0.00,
38,1.65,4950529862.00,2999864548.00,2199900736.00,193.00,16613.00,1456534.00,0.00,
39,1.66,4982451291.00,2999870291.00,2199904872.00,159.00,17347.00,1557092.00,0.00,
40,1.65,4963675379.00,2999865748.00,2199901616.00,161.00,18027.00,3245556.00,0.00,
51,1.98,5938570217.00,2999860396.00,2199897656.00,251.00,19001.00,1061501.00,0.00,
52,1.98,5933565479.00,2999860264.00,2199897480.00,239.00,15372.00,1055982.00,0.00,
53,1.98,5938965558.00,2999862473.00,2199899152.00,236.00,16179.00,996028.00,0.00,
54,1.98,5932517007.00,2999859739.00,2199897216.00,194.00,17893.00,1159370.00,0.00,
*,0.29,75643348481.00,259187039712.00,246387699184.00,45070.00,300733.00,18982401.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5993483090.00,2999804504.00,2199856648.00,268.00,1390.00,4999548.00,0.00,
38,1.98,5930340577.00,2999802002.00,2199854800.00,124.00,1606.00,4843453.00,0.00,
39,2.00,5995110359.00,2999800476.00,2199853744.00,129.00,1718.00,4647888.00,0.00,
40,1.96,5893401927.00,2999799868.00,2199853216.00,135.00,1767.00,21688356.00,0.00,
51,2.35,7037897510.00,2999803465.00,2199855856.00,140.00,1568.00,5812.00,0.00,
52,2.35,7036254522.00,2999804457.00,2199856648.00,131.00,1600.00,9183.00,0.00,
53,2.35,7042199011.00,2999800070.00,2199853392.00,123.00,1710.00,7676.00,0.00,
54,2.34,7032803689.00,2999800847.00,2199853920.00,136.00,1417.00,7558.00,0.00,
*,0.32,83957861071.00,259184046550.00,246384851328.00,23853.00,123946.00,37915861.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5989114467.00,2999791240.00,2199846880.00,343.00,1330.00,5027633.00,0.00,
38,1.98,5929732014.00,2999794758.00,2199849432.00,125.00,1430.00,4832548.00,0.00,
39,2.00,5994556719.00,2999794350.00,2199849168.00,125.00,1577.00,4656640.00,0.00,
40,1.96,5886218259.00,2999794745.00,2199849432.00,121.00,1553.00,21728166.00,0.00,
51,2.34,7033391790.00,2999789647.00,2199845736.00,130.00,1492.00,7490.00,0.00,
52,2.34,7033576881.00,2999790712.00,2199846528.00,118.00,1535.00,10251.00,0.00,
53,2.35,7035266367.00,2999793762.00,2199848728.00,121.00,1608.00,8523.00,0.00,
54,2.34,7033226887.00,2999793351.00,2199848464.00,122.00,1334.00,7479.00,0.00,
*,0.32,84037895590.00,259182152833.00,246383027176.00,55741.00,154511.00,41960183.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5990493471.00,2999997374.00,2199998152.00,340.00,1391.00,4997920.00,0.00,
38,1.98,5927244225.00,2999996989.00,2199997800.00,1116.00,3272.00,4836119.00,0.00,
39,2.00,6000534461.00,2999993765.00,2199995424.00,115.00,1699.00,4673724.00,0.00,
40,1.96,5892578119.00,2999994768.00,2199996216.00,114.00,1734.00,21663263.00,0.00,
51,2.35,7040753674.00,2999999870.00,2199999912.00,117.00,1573.00,9246.00,0.00,
52,2.35,7037967519.00,2999997912.00,2199998416.00,109.00,1597.00,9890.00,0.00,
53,2.35,7040601395.00,2999998640.00,2199999032.00,114.00,1739.00,9878.00,0.00,
54,2.34,7032782733.00,2999999710.00,2199999736.00,112.00,1506.00,9026.00,0.00,
*,0.32,83959364403.00,259199486434.00,246399503680.00,26073.00,125921.00,37919257.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5994267982.00,3002822134.00,2202069584.00,402.00,1297.00,5019395.00,0.00,
38,1.98,5931580267.00,3002819977.00,2202068000.00,127.00,1407.00,4830215.00,0.00,
39,2.00,6003582495.00,3002825069.00,2202071696.00,122.00,1524.00,4659282.00,0.00,
40,1.96,5899433939.00,3002824955.00,2202071608.00,121.00,1610.00,21723734.00,0.00,
51,2.34,7041032256.00,3002823995.00,2202070904.00,131.00,1483.00,8319.00,0.00,
52,2.34,7037386190.00,3002824209.00,2202071080.00,119.00,1484.00,9544.00,0.00,
53,2.35,7043435741.00,3002824967.00,2202071608.00,123.00,1596.00,9951.00,0.00,
54,2.34,7038793100.00,3002824660.00,2202071432.00,120.00,1451.00,8080.00,0.00,
*,0.32,84018017771.00,259444287211.00,246632233760.00,31932.00,131179.00,38204316.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5993191758.00,3002855007.00,2202093608.00,306.00,1339.00,4986854.00,0.00,
38,1.98,5933698538.00,3002854520.00,2202093344.00,128.00,1465.00,4842519.00,0.00,
39,2.00,6002374370.00,3002850277.00,2202090264.00,177.00,2238.00,4660262.00,0.00,
40,1.96,5893448858.00,3002851394.00,2202091056.00,124.00,1600.00,21807543.00,0.00,
51,2.34,7040744625.00,3002844791.00,2202086216.00,128.00,1497.00,7861.00,0.00,
52,2.34,7039954324.00,3002846685.00,2202087624.00,117.00,1529.00,8070.00,0.00,
53,2.35,7047936686.00,3002843545.00,2202085248.00,112.00,1622.00,9256.00,0.00,
54,2.34,7039412004.00,3002843395.00,2202085160.00,117.00,1421.00,8139.00,0.00,
*,0.32,84008845053.00,259445909843.00,246633767424.00,25392.00,128211.00,38201911.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5995391419.00,3002772613.00,2202033240.00,341.00,1306.00,5022813.00,0.00,
38,1.98,5933358985.00,3002775923.00,2202035616.00,117.00,1386.00,4845102.00,0.00,
39,2.00,6001433966.00,3002774386.00,2202034560.00,124.00,1549.00,4637258.00,0.00,
40,1.96,5893314806.00,3002774959.00,2202034912.00,124.00,1485.00,21808577.00,0.00,
51,2.34,7040022367.00,3002781099.00,2202039400.00,123.00,1425.00,5727.00,0.00,
52,2.35,7044249366.00,3002778208.00,2202037288.00,117.00,1466.00,9482.00,0.00,
53,2.35,7044566334.00,3002780572.00,2202039136.00,131.00,1541.00,8511.00,0.00,
54,2.34,7034914513.00,3002777841.00,2202037112.00,124.00,1350.00,10069.00,0.00,
*,0.32,84009286454.00,259439897257.00,246628048656.00,24163.00,122874.00,38082381.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.54,4613114746.00,2999832076.00,2199877064.00,203148.00,3355590.00,200889021.00,0.00,
38,1.53,4596052986.00,2999825316.00,2199872048.00,204126.00,3383727.00,195232471.00,0.00,
39,1.54,4611333102.00,2999828070.00,2199873896.00,205910.00,3374551.00,194904119.00,0.00,
40,1.52,4549232233.00,2999826698.00,2199873192.00,206253.00,3408072.00,199048378.00,0.00,
51,1.49,4462757753.00,2999813271.00,2199863248.00,524124.00,1502385.00,84250113.00,0.00,
52,1.48,4444221200.00,2999814420.00,2199864304.00,530909.00,1515906.00,83986877.00,0.00,
53,1.48,4447099226.00,2999818159.00,2199866856.00,530678.00,1506952.00,84673721.00,0.00,
54,1.49,4467863041.00,2999816603.00,2199865712.00,524814.00,1507093.00,81119301.00,0.00,
*,0.26,68457561226.00,259182214774.00,246383021896.00,3065209.00,19894679.00,1147875835.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.46,4382325838.00,2999766046.00,2199828400.00,410193.00,6371964.00,259313668.00,0.00,
38,1.47,4411707148.00,2999763610.00,2199826640.00,417063.00,6380275.00,257930535.00,0.00,
39,1.46,4392931215.00,2999767456.00,2199829632.00,411977.00,6409425.00,256892112.00,0.00,
40,1.45,4354430360.00,2999766015.00,2199828312.00,415685.00,6402833.00,252617914.00,0.00,
51,0.99,2982174384.00,2999770700.00,2199832536.00,1449418.00,5782094.00,143229377.00,0.00,
52,0.99,2956247355.00,2999771962.00,2199832536.00,1503486.00,5785527.00,140765660.00,0.00,
53,0.98,2935033187.00,2999767822.00,2199829632.00,1487601.00,5779045.00,144255191.00,0.00,
54,0.99,2963667572.00,2999767944.00,2199829808.00,1442716.00,5769520.00,141665897.00,0.00,
*,0.24,61573563009.00,259180559679.00,246381537776.00,7721311.00,49026478.00,1619777676.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
