"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",183213767,180978502,2235265,1.220,3054511.500,3054531.500,13000000944.000,13000086064.000,92660993024,1563909888.000,1563920128.000,12511279104.000,12511361024.000,12511279.104,12511361.024,12511.279,12511.361,151867,75437,5726120,"00:00:00.109","00:01:00.079"
"Traffic Item 2",183213767,180978412,2235355,1.220,3054511.500,3054530.000,13000000944.000,13000079680.000,92660946944,1563909888.000,1563919360.000,12511279104.000,12511354880.000,12511279.104,12511354.880,12511.279,12511.355,152526,75677,5728050,"00:00:00.109","00:01:00.079"
"Traffic Item 3",169120400,167057090,2063310,1.220,2819548.500,2819551.500,11999998416.000,12000011184.000,85533230080,1443608832.000,1443610368.000,11548870656.000,11548882944.000,11548870.656,11548882.944,11548.871,11548.883,152155,75942,5720600,"00:00:00.109","00:01:00.079"
"Traffic Item 4",169120400,167057411,2062989,1.220,2819548.500,2819551.000,11999998416.000,12000009056.000,85533394432,1443608832.000,1443610112.000,11548870656.000,11548880896.000,11548870.656,11548880.896,11548.871,11548.881,152337,75170,5723090,"00:00:00.109","00:01:00.079"
