Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7036402766.00,3000700368.00,2200513656.00,89.00,2156.00,18102.00,0.00,
52,2.30,6903192624.00,3000704609.00,2200516736.00,80.00,2207.00,14118.00,0.00,
53,2.35,7043910930.00,3000706141.00,2200517880.00,86.00,2142.00,9908.00,0.00,
54,2.34,7036387412.00,3000703852.00,2200516120.00,88.00,2226.00,12557.00,0.00,
*,0.32,82752908881.00,259256320956.00,246453312600.00,64490.00,131043.00,3319204.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.67,5004381602.00,2996925104.00,2197745088.00,349.00,18230.00,1711689.00,0.00,
38,1.67,4997741832.00,2996927199.00,2197746584.00,120.00,16666.00,1645795.00,0.00,
39,1.66,4985807649.00,2996925020.00,2197745000.00,98.00,16982.00,1681125.00,0.00,
40,1.66,4980971007.00,2996928102.00,2197747288.00,108.00,17333.00,1636764.00,0.00,
51,1.99,5956034220.00,2996927006.00,2197746496.00,217.00,18614.00,1062336.00,0.00,
52,1.98,5948397796.00,2996923561.00,2197743944.00,175.00,17268.00,1102324.00,0.00,
53,1.99,5956231043.00,2996922582.00,2197743240.00,214.00,16572.00,978926.00,0.00,
54,1.97,5918897662.00,2996920133.00,2197741392.00,151.00,18553.00,1076553.00,0.00,
*,0.29,75735812408.00,258939851796.00,246152926360.00,49356.00,309598.00,18599731.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5976052936.00,2999866368.00,2199901880.00,211.00,1442.00,4780313.00,0.00,
38,1.98,5926876724.00,2999870226.00,2199904784.00,76.00,1623.00,4797981.00,0.00,
39,2.00,5984858545.00,2999875302.00,2199908568.00,83.00,1697.00,4565947.00,0.00,
40,2.00,5994907932.00,2999873193.00,2199906984.00,74.00,1723.00,4639152.00,0.00,
51,2.35,7036616188.00,2999873665.00,2199907336.00,83.00,1405.00,9623.00,0.00,
52,2.35,7036684235.00,2999875949.00,2199909008.00,74.00,1498.00,11475.00,0.00,
53,2.34,7034675194.00,2999877668.00,2199910240.00,89.00,1443.00,12882.00,0.00,
54,2.27,6816434787.00,2999880163.00,2199912176.00,83.00,1471.00,9679.00,0.00,
*,0.32,83799138951.00,259189426276.00,246389963688.00,33907.00,130059.00,21332864.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977728614.00,2999858751.00,2199896336.00,188.00,1399.00,4785878.00,0.00,
38,1.98,5926711676.00,2999862287.00,2199899064.00,53.00,1497.00,4791457.00,0.00,
39,2.00,5985876413.00,2999859767.00,2199897128.00,59.00,1636.00,4554792.00,0.00,
40,2.00,5993752458.00,2999859961.00,2199897304.00,58.00,1633.00,4630325.00,0.00,
51,2.35,7038488517.00,2999864528.00,2199900648.00,67.00,1341.00,10111.00,0.00,
52,2.34,7032866177.00,2999864265.00,2199900472.00,55.00,1472.00,9886.00,0.00,
53,2.35,7042206405.00,2999861914.00,2199898712.00,60.00,1389.00,8117.00,0.00,
54,2.28,6839347543.00,2999864433.00,2199900560.00,54.00,1403.00,7096.00,0.00,
*,0.32,83825219671.00,259188082003.00,246388672640.00,35780.00,129942.00,21340075.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5983081801.00,3003039857.00,2202229304.00,198.00,1473.00,4802272.00,0.00,
38,1.97,5928681268.00,3003036253.00,2202226576.00,940.00,3409.00,4757418.00,0.00,
39,2.00,5995559342.00,3003873621.00,2202840640.00,102.00,1701.00,4560933.00,0.00,
40,2.00,5998853174.00,3003881663.00,2202846536.00,68.00,1743.00,4631718.00,0.00,
51,2.35,7045580740.00,3003874312.00,2202841080.00,69.00,1438.00,12549.00,0.00,
52,2.34,7042085599.00,3003874243.00,2202841168.00,60.00,1591.00,12118.00,0.00,
53,2.34,7043514842.00,3003876779.00,2202843016.00,68.00,1480.00,9721.00,0.00,
54,2.32,6956275734.00,3003875007.00,2202841696.00,63.00,1531.00,10984.00,0.00,
*,0.32,84025285544.00,259510494162.00,246694389392.00,35157.00,131802.00,21322337.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5979169550.00,3000765755.00,2200561528.00,171.00,1369.00,4804557.00,0.00,
38,1.97,5922835089.00,3000769301.00,2200564168.00,51.00,1514.00,4740688.00,0.00,
39,2.00,5985667533.00,2999929770.00,2199948520.00,58.00,1631.00,4576446.00,0.00,
40,2.00,5991292028.00,2999925533.00,2199945440.00,58.00,1645.00,4645612.00,0.00,
51,2.35,7039474723.00,2999932200.00,2199950368.00,63.00,1333.00,9388.00,0.00,
52,2.34,7033375187.00,2999930511.00,2199948960.00,57.00,1437.00,8376.00,0.00,
53,2.35,7038276217.00,2999930296.00,2199948872.00,65.00,1405.00,10153.00,0.00,
54,2.34,7034670087.00,2999925895.00,2199945616.00,59.00,1397.00,10164.00,0.00,
*,0.32,84022172884.00,259218323433.00,246418184056.00,45586.00,135745.00,21675208.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977964713.00,2999936011.00,2199953096.00,192.00,1359.00,4784879.00,0.00,
38,1.97,5917193308.00,2999935776.00,2199952920.00,70.00,1496.00,4732031.00,0.00,
39,1.99,5983966541.00,2999936470.00,2199953448.00,69.00,1643.00,4561182.00,0.00,
40,2.00,5993196714.00,2999934575.00,2199952040.00,80.00,1643.00,4642287.00,0.00,
51,2.35,7039164891.00,2999929450.00,2199948256.00,71.00,1334.00,11803.00,0.00,
52,2.34,7033009866.00,2999931942.00,2199950104.00,63.00,1468.00,12782.00,0.00,
53,2.35,7038872899.00,2999930757.00,2199949224.00,75.00,1382.00,8877.00,0.00,
54,2.34,7033475754.00,2999937024.00,2199953800.00,76.00,1413.00,9571.00,0.00,
*,0.32,84010770467.00,259194456509.00,246394727744.00,33716.00,132912.00,21325641.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5972988369.00,2999876583.00,2199909448.00,225.00,1458.00,4773427.00,0.00,
38,1.97,5919035384.00,2999877938.00,2199910504.00,102.00,2179.00,4740959.00,0.00,
39,1.99,5981446935.00,2999879659.00,2199911736.00,63.00,1740.00,4556717.00,0.00,
40,2.00,5991353216.00,2999880114.00,2199912088.00,64.00,1737.00,4622554.00,0.00,
51,2.35,7038285673.00,2999880019.00,2199912000.00,63.00,1450.00,12679.00,0.00,
52,2.34,7032585343.00,2999881898.00,2199913408.00,53.00,1641.00,10562.00,0.00,
53,2.35,7040124958.00,2999880858.00,2199912616.00,50.00,1505.00,8833.00,0.00,
54,2.35,7039058884.00,2999879580.00,2199911736.00,55.00,1501.00,8870.00,0.00,
*,0.32,84109035311.00,259189067921.00,246389594880.00,62183.00,160404.00,24761903.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980345865.00,2999888773.00,2199918424.00,234.00,1354.00,4799660.00,0.00,
38,1.97,5916891142.00,2999886887.00,2199917016.00,56.00,1453.00,4723390.00,0.00,
39,1.99,5980028511.00,2999887042.00,2199917192.00,65.00,1663.00,4550118.00,0.00,
40,2.00,5991091282.00,2999886308.00,2199916576.00,63.00,1668.00,4637412.00,0.00,
51,2.34,7033458587.00,2999885481.00,2199916048.00,67.00,1354.00,10735.00,0.00,
52,2.35,7035887403.00,2999884447.00,2199915256.00,65.00,1480.00,9442.00,0.00,
53,2.35,7037890098.00,2999882653.00,2199913936.00,62.00,1417.00,8537.00,0.00,
54,2.35,7036531088.00,2999881753.00,2199913232.00,68.00,1396.00,11104.00,0.00,
*,0.32,84017476500.00,259218169977.00,246416904624.00,33023.00,129769.00,21265864.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980590326.00,3000719173.00,2200527384.00,192.00,1372.00,4789603.00,0.00,
38,1.97,5920091425.00,3000720749.00,2200528528.00,59.00,1476.00,4740029.00,0.00,
39,2.00,5991018516.00,3000720855.00,2200528616.00,63.00,1635.00,4567204.00,0.00,
40,2.00,5996498787.00,3000720789.00,2200528616.00,59.00,1635.00,4648111.00,0.00,
51,2.34,7033291225.00,3000731268.00,2200536184.00,63.00,1360.00,12154.00,0.00,
52,2.34,7031579139.00,3000729997.00,2200535304.00,55.00,1457.00,10158.00,0.00,
53,2.35,7038358666.00,3000733832.00,2200538120.00,67.00,1373.00,7967.00,0.00,
54,2.35,7041487891.00,3000732528.00,2200537240.00,63.00,1413.00,10922.00,0.00,
*,0.32,84031625840.00,259235255145.00,246433890912.00,40795.00,135750.00,21288428.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.61,4838175225.00,2999921048.00,2199942360.00,161195.00,2003052.00,158837008.00,0.00,
38,1.58,4754859470.00,2999920680.00,2199942008.00,172686.00,2934119.00,173133184.00,0.00,
39,1.59,4772581766.00,2999929949.00,2199948784.00,171417.00,2919164.00,171134466.00,0.00,
40,1.57,4697832601.00,2999928769.00,2199947904.00,175747.00,3618153.00,182937488.00,0.00,
51,1.68,5030017825.00,2999901170.00,2199927752.00,336477.00,745496.00,59277042.00,0.00,
52,1.62,4871157331.00,2999903502.00,2199929424.00,416904.00,1147522.00,69261969.00,0.00,
53,1.62,4860970508.00,2999901729.00,2199928104.00,422335.00,1146633.00,68357572.00,0.00,
54,1.58,4739525833.00,2999897925.00,2199925288.00,466814.00,1536742.00,75240528.00,0.00,
*,0.27,70791645564.00,259190029221.00,246390466256.00,2462745.00,16371489.00,979642483.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

