Link 3 is disabled
Link 3 is disabled
Time elapsed: 1004 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
*,0.32,84423383553.00,260791877503.00,246392400848.00,71188.00,143137.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.01,6024163884.00,2999271892.00,2199466016.00,838.00,1472.00,0.00,0.00,
38,2.00,6010261959.00,2999273398.00,2199467160.00,492.00,1669.00,0.00,0.00,
39,1.99,5968887423.00,2999275549.00,2199468744.00,505.00,1846.00,0.00,0.00,
40,2.01,6030752545.00,2999273039.00,2199466896.00,346.00,1862.00,0.00,0.00,
51,2.35,7033503156.00,2999271261.00,2199465576.00,525.00,1658.00,0.00,0.00,
52,2.34,7031596108.00,2999271720.00,2199465928.00,444.00,1976.00,0.00,0.00,
53,2.35,7037434849.00,2999263611.00,2199459944.00,386.00,1689.00,0.00,0.00,
54,2.34,7029410730.00,2999265514.00,2199461440.00,473.00,1585.00,0.00,0.00,
*,0.32,84388851083.00,260737746764.00,246341139528.00,60448.00,139789.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6003413388.00,3000088375.00,2200064856.00,560.00,1489.00,0.00,0.00,
38,2.00,6006631112.00,3000087925.00,2200064504.00,583.00,1658.00,0.00,0.00,
39,1.99,5967044781.00,3000090640.00,2200066440.00,427.00,1596.00,0.00,0.00,
40,2.01,6027938151.00,3000088512.00,2200064856.00,568.00,1767.00,0.00,0.00,
51,2.34,7034104594.00,3000092266.00,2200067672.00,487.00,1617.00,0.00,0.00,
52,2.34,7032650366.00,3000088588.00,2200064944.00,445.00,1658.00,0.00,0.00,
53,2.35,7036382095.00,3000087659.00,2200064328.00,415.00,1505.00,0.00,0.00,
