Link 3 is disabled
Link 3 is disabled
Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5971421916.00,3002483436.00,2201821160.00,438.00,1471.00,0.00,0.00,
38,2.01,6042603641.00,3002488335.00,2201824768.00,142.00,1611.00,0.00,0.00,
39,2.01,6039668771.00,3002489531.00,2201825736.00,144.00,1833.00,0.00,0.00,
40,2.01,6021194585.00,3002483136.00,2201820984.00,154.00,1829.00,0.00,0.00,
51,2.35,7045218575.00,3002484516.00,2201822040.00,141.00,1836.00,0.00,0.00,
52,2.35,7042142875.00,3002485167.00,2201822480.00,587.00,1514.00,0.00,0.00,
53,2.35,7042533618.00,3002484430.00,2201821952.00,148.00,1825.00,0.00,0.00,
54,2.34,7037571162.00,3002486716.00,2201823624.00,143.00,1748.00,0.00,0.00,
*,0.32,84301087711.00,259414449534.00,246603877256.00,133020.00,620652.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5959719259.00,2999913845.00,2199936816.00,278.00,1330.00,0.00,0.00,
38,2.01,6029380531.00,2999913128.00,2199936288.00,131.00,1612.00,0.00,0.00,
39,2.01,6033067974.00,2999910827.00,2199934616.00,127.00,1662.00,0.00,0.00,
40,2.00,6008368939.00,2999915600.00,2199938048.00,128.00,1650.00,0.00,0.00,
51,2.35,7036200623.00,2999910419.00,2199934264.00,124.00,1654.00,0.00,0.00,
52,2.34,7034757185.00,2999908802.00,2199933120.00,116.00,1527.00,0.00,0.00,
53,2.34,7032434783.00,2999909818.00,2199933824.00,122.00,1655.00,0.00,0.00,
54,2.34,7028563011.00,2999908621.00,2199932944.00,123.00,1619.00,0.00,0.00,
