"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",183212226,179931892,3280334,1.790,3054512.000,3036705.500,13000003072.000,12924218608.000,92125128704,1563910144.000,1554793216.000,12511281152.000,12438345728.000,12511281.152,12438345.728,12511.281,12438.346,393957,76595,6238835,"00:00:00.144","00:01:00.115"
"Traffic Item 2",183212226,179928527,3283699,1.792,3054511.500,3036655.000,13000000944.000,12924003680.000,92123405824,1563909888.000,1554767360.000,12511279104.000,12438138880.000,12511279.104,12438138.880,12511.279,12438.139,394889,76552,6239475,"00:00:00.144","00:01:00.115"
"Traffic Item 3",169118977,166063621,3055356,1.807,2819549.000,2801676.000,12000000544.000,11923933056.000,85024573952,1443609088.000,1434458112.000,11548872704.000,11475664896.000,11548872.704,11475664.896,11548.873,11475.665,431871,73467,6385147,"00:00:00.144","00:01:00.115"
"Traffic Item 4",169118977,166066892,3052085,1.805,2819548.500,2801723.000,11999998416.000,11924133088.000,85026248704,1443608832.000,1434482176.000,11548870656.000,11475857408.000,11548870.656,11475857.408,11548.871,11475.857,432710,73952,6388800,"00:00:00.144","00:01:00.115"
