Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7030309534.00,2999736235.00,2199806576.00,185.00,2200.00,12998.00,0.00,
52,2.34,7026866268.00,2999727391.00,2199800064.00,196.00,2317.00,14741.00,0.00,
53,1.83,5502117021.00,2999725904.00,2199798920.00,172.00,2442.00,11564.00,0.00,
54,2.34,7031532781.00,2999728029.00,2199800504.00,172.00,2112.00,10035.00,0.00,
*,0.31,81079309322.00,259177196040.00,246378340384.00,46341.00,145153.00,15077700.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.67,4995279497.00,2999731694.00,2199803408.00,412.00,18688.00,1678594.00,0.00,
38,1.66,4984379068.00,2999736420.00,2199806752.00,208.00,18083.00,1612995.00,0.00,
39,1.66,4970647043.00,2999732792.00,2199804112.00,166.00,22581.00,12271683.00,0.00,
40,1.66,4991832371.00,2999734662.00,2199805432.00,179.00,18457.00,1585139.00,0.00,
51,1.99,5961394724.00,2999731124.00,2199802792.00,309.00,17748.00,945027.00,0.00,
52,1.99,5959437768.00,2999734860.00,2199805608.00,250.00,18121.00,1039164.00,0.00,
53,1.64,4920389917.00,2999731673.00,2199803320.00,198.00,18402.00,1112496.00,0.00,
54,1.99,5959566430.00,2999734329.00,2199805168.00,223.00,18249.00,1012083.00,0.00,
*,0.29,74786391048.00,259176611971.00,246377766272.00,35988.00,315438.00,28225605.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980585690.00,2999711349.00,2199788184.00,277.00,1420.00,4796437.00,0.00,
38,1.97,5918202535.00,2999712640.00,2199789152.00,124.00,1539.00,4909625.00,0.00,
39,1.98,5932008073.00,2999715790.00,2199791528.00,119.00,1799.00,35710182.00,0.00,
40,2.00,5987647404.00,2999711376.00,2199788272.00,106.00,1652.00,4631639.00,0.00,
51,2.35,7034603544.00,2999711233.00,2199788272.00,125.00,1517.00,7504.00,0.00,
52,2.35,7034775325.00,2999713226.00,2199789680.00,131.00,1587.00,5972.00,0.00,
53,1.89,5655884250.00,2999711475.00,2199788360.00,120.00,1695.00,9040.00,0.00,
54,2.34,7034273334.00,2999711854.00,2199788712.00,127.00,1459.00,6952.00,0.00,
*,0.32,82589381431.00,259175553265.00,246376782608.00,26764.00,125949.00,51885843.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5978551350.00,2999679957.00,2199765304.00,361.00,1345.00,4791034.00,0.00,
38,1.97,5920572021.00,2999676755.00,2199763016.00,127.00,1457.00,4908665.00,0.00,
39,1.98,5928920707.00,2999678184.00,2199763984.00,128.00,1692.00,35005998.00,0.00,
40,2.00,5992764714.00,2999678872.00,2199764512.00,116.00,1598.00,4660858.00,0.00,
51,2.35,7037364946.00,2999681114.00,2199766096.00,118.00,1446.00,10499.00,0.00,
52,2.34,7026703090.00,2999677826.00,2199763720.00,114.00,1392.00,5880.00,0.00,
53,1.88,5639206592.00,2999680260.00,2199765568.00,119.00,1562.00,10970.00,0.00,
54,2.35,7037054247.00,2999673180.00,2199760288.00,116.00,1352.00,7054.00,0.00,
*,0.32,82572272078.00,259172653827.00,246373995824.00,26497.00,126598.00,51180720.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977074967.00,2999866347.00,2199901968.00,254.00,1462.00,4787398.00,0.00,
38,1.97,5921955301.00,2999872095.00,2199906192.00,124.00,1550.00,4908524.00,0.00,
39,1.98,5926726237.00,2999865445.00,2199901352.00,118.00,1943.00,35446358.00,0.00,
40,1.99,5984545638.00,2999868478.00,2199903552.00,116.00,1682.00,4641032.00,0.00,
51,2.35,7035120744.00,2999867375.00,2199902760.00,110.00,1560.00,8522.00,0.00,
52,2.34,7032836552.00,2999869027.00,2199903992.00,1264.00,3136.00,6552.00,0.00,
53,1.88,5636700339.00,2999863730.00,2199900032.00,115.00,1712.00,9145.00,0.00,
54,2.34,7034507808.00,2999870141.00,2199904784.00,118.00,1480.00,10786.00,0.00,
*,0.32,82557760926.00,259187839982.00,246388445688.00,24312.00,125747.00,51573103.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5973769942.00,2999697686.00,2199778328.00,318.00,1361.00,4762154.00,0.00,
38,1.97,5918292138.00,2999690925.00,2199773312.00,136.00,1457.00,4918406.00,0.00,
39,1.98,5931729437.00,2999701942.00,2199781496.00,131.00,1741.00,36483960.00,0.00,
40,2.00,5986853625.00,2999694448.00,2199775952.00,120.00,1625.00,4642885.00,0.00,
51,2.34,7028519975.00,2999697586.00,2199778240.00,114.00,1431.00,11739.00,0.00,
52,2.34,7030884703.00,2999701333.00,2199780968.00,123.00,1442.00,6881.00,0.00,
53,1.88,5646766004.00,2999704449.00,2199783256.00,129.00,1577.00,10201.00,0.00,
54,2.34,7031750087.00,2999701451.00,2199781056.00,125.00,1374.00,8556.00,0.00,
*,0.32,82570628648.00,259174558268.00,246375809680.00,29792.00,131654.00,52791550.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5978158721.00,2999774566.00,2199834648.00,286.00,1416.00,4793611.00,0.00,
38,1.97,5921264806.00,2999779839.00,2199838520.00,148.00,2044.00,4905369.00,0.00,
39,1.98,5927544760.00,2999776279.00,2199835880.00,130.00,1771.00,35652533.00,0.00,
40,2.00,5988755960.00,2999779259.00,2199838080.00,117.00,1650.00,4653823.00,0.00,
51,2.34,7029427956.00,2999778006.00,2199837200.00,127.00,1462.00,12444.00,0.00,
52,2.34,7031314720.00,2999774355.00,2199834472.00,122.00,1510.00,6585.00,0.00,
53,1.88,5650187046.00,2999775905.00,2199835704.00,127.00,1684.00,9976.00,0.00,
54,2.35,7035071336.00,2999775263.00,2199835176.00,138.00,1428.00,7108.00,0.00,
*,0.32,82567501477.00,259180662039.00,246381609760.00,24435.00,128402.00,51885695.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5985850517.00,3002711633.00,2201988536.00,254.00,1347.00,4798816.00,0.00,
38,1.97,5927382699.00,3002709046.00,2201986688.00,132.00,1460.00,4915630.00,0.00,
39,1.98,5932816507.00,3002704486.00,2201983344.00,125.00,1706.00,35434621.00,0.00,
40,1.99,5989132872.00,3002704853.00,2201983608.00,126.00,1568.00,4635100.00,0.00,
51,2.34,7032858978.00,3002703013.00,2201982200.00,121.00,1404.00,7297.00,0.00,
52,2.34,7037822033.00,3002703487.00,2201982640.00,121.00,1398.00,6615.00,0.00,
53,1.89,5661086475.00,3002705315.00,2201983872.00,128.00,1519.00,7398.00,0.00,
54,2.34,7036482536.00,3002708385.00,2201986160.00,144.00,1326.00,10109.00,0.00,
*,0.32,82648006751.00,259433750434.00,246622213464.00,25637.00,128227.00,51636111.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981411551.00,3002755048.00,2202020392.00,269.00,1350.00,4787310.00,0.00,
38,1.97,5926529225.00,3002753892.00,2202019512.00,132.00,1450.00,4908255.00,0.00,
39,1.98,5935953430.00,3002756962.00,2202021712.00,123.00,1714.00,36023199.00,0.00,
40,2.00,5991150346.00,3002757650.00,2202022240.00,126.00,1585.00,4638987.00,0.00,
51,2.34,7035907789.00,3002757357.00,2202022064.00,124.00,1417.00,4797.00,0.00,
52,2.34,7033556209.00,3002760787.00,2202024528.00,132.00,1385.00,5565.00,0.00,
53,1.88,5651853751.00,3002757363.00,2202022064.00,121.00,1554.00,10899.00,0.00,
54,2.34,7039005636.00,3002752050.00,2202018192.00,163.00,1362.00,8158.00,0.00,
*,0.32,82709363295.00,259438026930.00,246626260320.00,52225.00,138244.00,54836334.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.56,4682849387.00,2999761658.00,2199825320.00,79832.00,6432763.00,212738304.00,0.00,
38,1.94,5808939549.00,2999757359.00,2199822064.00,912.00,14200.00,6305279.00,0.00,
39,1.94,5825674560.00,2999754594.00,2199820216.00,795.00,16535.00,29045124.00,0.00,
40,1.96,5866361418.00,2999758715.00,2199823120.00,787.00,13405.00,6041348.00,0.00,
51,1.31,3935720491.00,2999773622.00,2199834032.00,250366.00,3763286.00,77020887.00,0.00,
52,2.30,6891219845.00,2999765877.00,2199828576.00,319.00,4579.00,116921.00,0.00,
53,1.95,5853812724.00,2999763440.00,2199826728.00,322.00,5143.00,138721.00,0.00,
54,2.30,6890341899.00,2999767642.00,2199829808.00,1695.00,4786.00,135256.00,0.00,
*,0.30,77809813055.00,259179421743.00,246380392544.00,401259.00,10461076.00,338610155.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.59,4773441279.00,2999768384.00,2199830160.00,79834.00,9721214.00,239028819.00,0.00,
38,1.95,5860677034.00,2999766491.00,2199829016.00,506.00,6154.00,5554689.00,0.00,
39,1.96,5872435862.00,2999769770.00,2199831304.00,426.00,6888.00,31440449.00,0.00,
40,1.98,5924920506.00,2999765002.00,2199827696.00,497.00,6474.00,5304991.00,0.00,
51,0.96,2878163994.00,2999749669.00,2199816432.00,474309.00,10084314.00,127441195.00,0.00,
52,2.32,6959758455.00,2999739176.00,2199808512.00,201.00,2018.00,7548.00,0.00,
53,1.93,5779679859.00,2999742273.00,2199810800.00,211.00,2162.00,7753.00,0.00,
54,2.32,6958831421.00,2999742921.00,2199811240.00,953.00,1922.00,20705.00,0.00,
