"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",70461893,70461766,127,0.000,1174812.000,1174808.000,4999999872.000,601503744.000,4812029952.000,4812029.952,4812.030,13528,0,75770,13549,69245613,119817,76792,179350,"00:00:00.088","00:01:00.065"
"Traffic Item 2",70461893,70461766,127,0.000,1174812.000,1174809.500,4999999872.000,601503744.000,4812029952.000,4812029.952,4812.030,9409,0,75185,9469,69399916,120021,76855,179732,"00:00:00.088","00:01:00.065"
"Traffic Item 3",70461893,70461766,127,0.000,1174812.000,1174810.500,4999999872.000,601503744.000,4812029952.000,4812029.952,4812.030,8617,0,75312,8674,69281471,120203,77320,180072,"00:00:00.088","00:01:00.065"
"Traffic Item 4",0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"","","","","","","","","",""
