"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",183215633,179930172,3285461,1.793,3054511.500,3035677.500,13000000944.000,1563909888.000,12511279104.000,12511279.104,12511.279,18341,0,2445540,18642,174701661,392317,74225,8664152,"00:00:00.104","00:01:00.079"
"Traffic Item 2",183215634,179930668,3284966,1.793,3054511.500,3035699.000,13000000944.000,1563909888.000,12511279104.000,12511279.104,12511.279,16796,0,2429167,16628,174876742,393304,76367,8664240,"00:00:00.104","00:01:00.079"
"Traffic Item 3",169122123,166074275,3047848,1.802,2819549.500,2802877.000,12000002672.000,1443609344.000,11548874752.000,11548874.752,11548.875,27753,0,7919510,26876,164097621,430014,75252,9229535,"00:00:00.104","00:01:00.079"
"Traffic Item 4",169122123,166068725,3053398,1.805,2819549.500,2802784.500,12000002672.000,1443609344.000,11548874752.000,11548874.752,11548.875,22630,0,2298905,21627,164140618,430700,75982,9229960,"00:00:00.104","00:01:00.079"
