Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7032002829.00,2999856103.00,2199894488.00,183.00,2199.00,12567.00,0.00,
52,2.34,7029607683.00,2999853609.00,2199892640.00,196.00,2238.00,11209.00,0.00,
53,2.35,7037575978.00,2999852444.00,2199891848.00,179.00,2441.00,11846.00,0.00,
54,2.35,7038102042.00,2999855636.00,2199894048.00,177.00,2250.00,14473.00,0.00,
*,0.32,82855294083.00,259188129796.00,246388738288.00,45689.00,136022.00,2485742.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4990294277.00,2999880515.00,2199912352.00,326.00,12543.00,1532990.00,0.00,
38,1.66,4966227320.00,2999874580.00,2199908040.00,195.00,13698.00,1427571.00,0.00,
39,1.66,4979561040.00,2999877783.00,2199910416.00,181.00,14369.00,1594754.00,0.00,
40,1.65,4952977167.00,2999879971.00,2199912088.00,212.00,12493.00,1864143.00,0.00,
51,1.98,5951879420.00,2999875498.00,2199908656.00,257.00,14739.00,1175004.00,0.00,
52,1.98,5947896284.00,2999873765.00,2199907512.00,244.00,14398.00,1096105.00,0.00,
53,1.98,5930530165.00,2999875111.00,2199908392.00,212.00,13522.00,1136419.00,0.00,
54,1.98,5951429068.00,2999874031.00,2199907688.00,224.00,13995.00,1090428.00,0.00,
*,0.29,75959120379.00,259192279204.00,246392885200.00,78592.00,296738.00,25205698.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5975517149.00,2998231953.00,2198703408.00,282.00,1442.00,4789588.00,0.00,
38,1.95,5850838991.00,2998240134.00,2198709392.00,127.00,1551.00,3136204.00,0.00,
39,2.00,5988565707.00,2998237595.00,2198707544.00,126.00,1709.00,4570379.00,0.00,
40,1.90,5698471622.00,2998233763.00,2198704640.00,121.00,1700.00,7299882.00,0.00,
51,2.35,7031029912.00,2998240242.00,2198709568.00,133.00,1668.00,5389.00,0.00,
52,2.34,7028470686.00,2998241967.00,2198710712.00,135.00,1520.00,8679.00,0.00,
53,2.28,6833174766.00,2998241270.00,2198710184.00,134.00,1656.00,8362.00,0.00,
54,2.35,7031684256.00,2998240123.00,2198709392.00,127.00,1500.00,12134.00,0.00,
*,0.32,83531275525.00,259044417497.00,246251904888.00,31832.00,167966.00,24273548.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5983614088.00,3002814529.00,2202063952.00,267.00,1371.00,4792241.00,0.00,
38,1.95,5854608297.00,3002814157.00,2202063688.00,130.00,1497.00,3126173.00,0.00,
39,2.00,5992835572.00,3002815776.00,2202064920.00,129.00,1636.00,4551293.00,0.00,
40,1.90,5708777915.00,3002815547.00,2202064744.00,125.00,1726.00,7301673.00,0.00,
51,2.35,7043670653.00,3002819834.00,2202067824.00,127.00,1482.00,5813.00,0.00,
52,2.35,7042238409.00,3002818751.00,2202067032.00,119.00,1483.00,6018.00,0.00,
53,2.28,6847659901.00,3002818341.00,2202066856.00,116.00,1612.00,7039.00,0.00,
54,2.35,7044861243.00,3002818722.00,2202067032.00,119.00,1460.00,13350.00,0.00,
*,0.32,83546957589.00,259442960574.00,246630941040.00,25753.00,130208.00,21604107.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5985818830.00,3002991526.00,2202193840.00,278.00,1453.00,4794253.00,0.00,
38,1.95,5852862169.00,3002992462.00,2202194544.00,130.00,1570.00,3134151.00,0.00,
39,1.99,5988654115.00,3002991501.00,2202193752.00,130.00,1738.00,4558857.00,0.00,
40,1.98,5940135624.00,3002991290.00,2202193576.00,131.00,1732.00,5058143.00,0.00,
51,2.34,7041163582.00,3002984997.00,2202189000.00,128.00,1548.00,7822.00,0.00,
52,2.34,7037437905.00,3002985422.00,2202189352.00,1175.00,3248.00,9483.00,0.00,
53,2.33,7008941710.00,3002983018.00,2202187504.00,114.00,1753.00,8053.00,0.00,
54,2.35,7042253211.00,3002984400.00,2202188560.00,128.00,1555.00,14230.00,0.00,
*,0.32,83921508100.00,259458435014.00,246645677080.00,25676.00,131565.00,19456235.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5983284500.00,3002824091.00,2202070992.00,334.00,1349.00,4786005.00,0.00,
38,1.95,5858106154.00,3002824849.00,2202071520.00,126.00,1455.00,3110457.00,0.00,
39,2.00,5995992719.00,3002823865.00,2202070816.00,111.00,1628.00,4561851.00,0.00,
40,2.00,5993952609.00,3002826851.00,2202073016.00,123.00,1583.00,4549500.00,0.00,
51,2.34,7041043400.00,3002829972.00,2202075392.00,115.00,1428.00,5964.00,0.00,
52,2.34,7034840126.00,3002831394.00,2202076360.00,116.00,1450.00,6752.00,0.00,
53,2.35,7041876692.00,3002832512.00,2202077240.00,118.00,1628.00,9100.00,0.00,
54,2.35,7043504033.00,3002832779.00,2202077416.00,117.00,1416.00,13074.00,0.00,
*,0.32,84025801899.00,259444662838.00,246632583736.00,29029.00,129261.00,18932623.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5984865703.00,3002879955.00,2202111912.00,270.00,1411.00,4802209.00,0.00,
38,1.95,5853753496.00,3002880199.00,2202112088.00,165.00,2080.00,3116649.00,0.00,
39,2.00,5991436509.00,3002879547.00,2202111648.00,126.00,1631.00,4547158.00,0.00,
40,1.99,5988511702.00,3002878184.00,2202110680.00,125.00,1587.00,4547511.00,0.00,
51,2.35,7043747623.00,3002876380.00,2202109272.00,125.00,1487.00,9108.00,0.00,
52,2.34,7033660789.00,3002876405.00,2202109360.00,126.00,1487.00,8776.00,0.00,
53,2.35,7050528238.00,3002876225.00,2202109184.00,123.00,1667.00,12603.00,0.00,
54,2.34,7036961664.00,3002876068.00,2202109096.00,124.00,1464.00,13009.00,0.00,
*,0.32,84015292270.00,259448543082.00,246636274280.00,25353.00,131524.00,18918955.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977967022.00,2999778474.00,2199837552.00,266.00,1342.00,4786430.00,0.00,
38,1.95,5851634498.00,2999780845.00,2199839312.00,121.00,1497.00,3127612.00,0.00,
39,2.00,5986014874.00,2999782108.00,2199840280.00,119.00,1607.00,4531074.00,0.00,
40,1.99,5982167858.00,2999780766.00,2199839312.00,113.00,1585.00,4534848.00,0.00,
51,2.35,7035642218.00,2999783648.00,2199841336.00,116.00,1438.00,6571.00,0.00,
52,2.34,7030722605.00,2999783854.00,2199841512.00,121.00,1469.00,6342.00,0.00,
53,2.35,7039936950.00,2999784225.00,2199841776.00,121.00,1624.00,9490.00,0.00,
54,2.34,7033909412.00,2999782248.00,2199840280.00,121.00,1421.00,11459.00,0.00,
*,0.32,83932237174.00,259181004658.00,246381947152.00,22647.00,125939.00,18767693.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5976311566.00,2999845573.00,2199886832.00,282.00,1341.00,4792212.00,0.00,
38,1.95,5850316243.00,2999841354.00,2199883664.00,119.00,1441.00,3113271.00,0.00,
39,2.00,5984948640.00,2999843067.00,2199884896.00,124.00,1632.00,4550112.00,0.00,
40,1.99,5984366307.00,2999844089.00,2199885600.00,123.00,1551.00,4545070.00,0.00,
51,2.35,7037716579.00,2999843509.00,2199885248.00,124.00,1418.00,6699.00,0.00,
52,2.34,7030908313.00,2999844285.00,2199885776.00,124.00,1396.00,7227.00,0.00,
53,2.35,7037967852.00,2999845415.00,2199886656.00,130.00,1606.00,10003.00,0.00,
54,2.34,7034422126.00,2999844822.00,2199886216.00,132.00,1404.00,12349.00,0.00,
*,0.32,83932540711.00,259187097850.00,246387717928.00,24687.00,129125.00,18900067.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5976836901.00,2999841015.00,2199883400.00,260.00,1375.00,4795851.00,0.00,
38,1.95,5850673929.00,2999842922.00,2199884808.00,124.00,1487.00,3135998.00,0.00,
39,2.00,5985517193.00,2999844082.00,2199885600.00,126.00,1620.00,4526451.00,0.00,
40,2.00,5984802290.00,2999841095.00,2199883488.00,121.00,1605.00,4543600.00,0.00,
51,2.35,7040039241.00,2999843763.00,2199885424.00,124.00,1479.00,6781.00,0.00,
52,2.34,7029707623.00,2999842425.00,2199884456.00,126.00,1447.00,7139.00,0.00,
53,2.35,7039605965.00,2999843154.00,2199884984.00,120.00,1611.00,7155.00,0.00,
54,2.35,7034843627.00,2999844812.00,2199886216.00,125.00,1426.00,13483.00,0.00,
*,0.32,83944509213.00,259186584781.00,246387270888.00,30449.00,132406.00,18812125.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.93,5783557059.00,2999862613.00,2199899680.00,17734.00,783738.00,37993143.00,0.00,
38,1.94,5828791023.00,2999849598.00,2199889736.00,399.00,5311.00,3467546.00,0.00,
39,1.99,5962516235.00,2999844588.00,2199886128.00,416.00,5297.00,4984371.00,0.00,
40,1.99,5960712128.00,2999849438.00,2199889824.00,431.00,7632.00,4926688.00,0.00,
51,2.24,6726518653.00,2999845085.00,2199886480.00,10888.00,62935.00,6398054.00,0.00,
52,2.33,6999796030.00,2999836553.00,2199880320.00,207.00,3534.00,133801.00,0.00,
53,2.34,7008108294.00,2999837509.00,2199880848.00,211.00,3722.00,155860.00,0.00,
54,2.34,7006065087.00,2999830994.00,2199876272.00,196.00,3455.00,156390.00,0.00,
*,0.32,83283349325.00,259185475994.00,246386160240.00,57093.00,1007527.00,60943318.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.52,4564375629.00,2999795168.00,2199849520.00,85564.00,7420346.00,225889627.00,0.00,
38,1.90,5713893572.00,2999795197.00,2199849784.00,477.00,10427.00,4536805.00,0.00,
