Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.35,7037254155.00,2999812463.00,2199862456.00,200.00,2401.00,11345.00,0.00,
52,2.34,7030095471.00,2999816969.00,2199865800.00,199.00,2306.00,11578.00,0.00,
53,2.34,7034145942.00,2999814987.00,2199864304.00,187.00,2386.00,13024.00,0.00,
54,2.35,7034790538.00,2999811414.00,2199861664.00,204.00,2170.00,13065.00,0.00,
*,0.32,82904881793.00,259185134599.00,246385841944.00,44566.00,145188.00,2550371.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.65,4960948874.00,2999854668.00,2199893432.00,389.00,19137.00,1488321.00,0.00,
38,1.65,4947808960.00,2999854510.00,2199893344.00,158.00,17563.00,1817028.00,0.00,
39,1.66,4978885073.00,2999859598.00,2199897128.00,198.00,18947.00,1570898.00,0.00,
40,1.65,4948630575.00,2999849700.00,2199889824.00,173.00,19369.00,1836507.00,0.00,
51,1.98,5933972185.00,2999852129.00,2199891584.00,234.00,18533.00,1023319.00,0.00,
52,1.98,5929204976.00,2999850862.00,2199890616.00,259.00,17436.00,1007703.00,0.00,
53,1.98,5940615309.00,2999856809.00,2199895016.00,265.00,17750.00,1001792.00,0.00,
54,1.98,5930478967.00,2999845622.00,2199886832.00,210.00,19990.00,1062035.00,0.00,
*,0.29,75603073474.00,259186646289.00,246387319552.00,42100.00,312626.00,17848138.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.97,5903776211.00,2999796829.00,2199851016.00,323.00,1449.00,3757977.00,0.00,
