"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",88078243,88077961,282,0.000,1468515.000,1468516.000,6249999840.000,6250004096.000,45095916032,751879680.000,751880192.000,6015037440.000,6015041536.000,6015037.440,6015041.536,6015.037,6015.042,168491,73275,592835,"00:00:00.140","00:01:00.117"
"Traffic Item 2",88078243,88077960,283,0.000,1468514.500,1468520.000,6249997712.000,6250021120.000,45095915520,751879424.000,751882240.000,6015035392.000,6015057920.000,6015035.392,6015057.920,6015.035,6015.058,169827,73322,595502,"00:00:00.140","00:01:00.117"
"Traffic Item 3",88078243,88077961,282,0.000,1468515.000,1468520.500,6249999840.000,6250023248.000,45095916032,751879680.000,751882496.000,6015037440.000,6015059968.000,6015037.440,6015059.968,6015.037,6015.060,169368,73425,595702,"00:00:00.140","00:01:00.117"
"Traffic Item 4",88078243,88077963,280,0.000,1468514.500,1468520.500,6249997712.000,6250023248.000,45095917056,751879424.000,751882496.000,6015035392.000,6015059968.000,6015035.392,6015059.968,6015.035,6015.060,169044,73965,596422,"00:00:00.140","00:01:00.117"
