"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",100000,100000,0,0.000,0.000,0.000,0.000,0.000,17800000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91290,65780,147862,"00:00:00.099","00:00:50.099"
"Traffic Item 2",81739268,81738836,432,0.001,1409774.500,1409775.500,6000000272.000,6000004528.000,41850284032,721804544.000,721805056.000,5774436352.000,5774440448.000,5774436.352,5774440.448,5774.436,5774.440,93193,56672,408555,"00:00:00.099","00:00:58.079"
"Traffic Item 3",81739268,81738835,433,0.001,1409774.500,1409775.000,6000000272.000,6000002400.000,41850283520,721804544.000,721804800.000,5774436352.000,5774438400.000,5774436.352,5774438.400,5774.436,5774.438,93412,56942,408637,"00:00:00.099","00:00:58.079"
"Traffic Item 4",81739268,81738835,433,0.001,1409774.500,1409775.500,6000000272.000,6000004528.000,41850283520,721804544.000,721805056.000,5774436352.000,5774440448.000,5774436.352,5774440.448,5774.436,5774.440,93544,49575,409017,"00:00:00.099","00:00:58.079"
