Link 3 is disabled
Link 3 is disabled
Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6012843085.00,3002439560.00,2201788952.00,304.00,1496.00,0.00,0.00,
38,1.99,5977662227.00,3002431614.00,2201783056.00,163.00,1435.00,0.00,0.00,
39,2.00,6016478696.00,3002429358.00,2201781560.00,154.00,1624.00,0.00,0.00,
40,2.00,6012903126.00,3002425930.00,2201779008.00,161.00,1615.00,0.00,0.00,
51,2.35,7042065854.00,3002412997.00,2201769504.00,157.00,1525.00,0.00,0.00,
52,2.34,7035125573.00,3002411832.00,2201768800.00,150.00,1727.00,0.00,0.00,
53,2.34,7040549006.00,3002408718.00,2201766336.00,143.00,1655.00,0.00,0.00,
54,2.34,7032042557.00,3002409833.00,2201767216.00,162.00,1728.00,0.00,0.00,
*,0.32,84227148894.00,259407415293.00,246597209320.00,137008.00,615016.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6003463404.00,2999742203.00,2199810976.00,303.00,1446.00,0.00,0.00,
38,1.99,5964346457.00,2999743062.00,2199811592.00,117.00,1410.00,0.00,0.00,
39,2.00,6002187047.00,2999743956.00,2199812208.00,127.00,1609.00,0.00,0.00,
40,2.00,6009643030.00,2999744767.00,2199812824.00,124.00,1565.00,0.00,0.00,
51,2.34,7030010243.00,2999742901.00,2199811504.00,130.00,1511.00,0.00,0.00,
52,2.34,7029683333.00,2999741143.00,2199810008.00,403.00,1722.00,0.00,0.00,
53,2.35,7037906390.00,2999740207.00,2199809480.00,118.00,1720.00,0.00,0.00,
54,2.34,7029437974.00,2999736672.00,2199806840.00,107.00,1756.00,0.00,0.00,
*,0.32,84080768501.00,259178150653.00,246379235344.00,40714.00,130719.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6000947720.00,2999642644.00,2199737936.00,249.00,1402.00,0.00,0.00,
38,1.99,5960088275.00,2999641542.00,2199737144.00,131.00,1346.00,0.00,0.00,
39,2.00,6009541722.00,2999645880.00,2199740312.00,131.00,1494.00,0.00,0.00,
40,2.00,6004545249.00,2999642942.00,2199738112.00,133.00,1525.00,0.00,0.00,
51,2.35,7034798226.00,2999644849.00,2199739520.00,126.00,1425.00,0.00,0.00,
52,2.34,7027033386.00,2999644356.00,2199739168.00,125.00,1592.00,0.00,0.00,
53,2.35,7037141279.00,2999644974.00,2199739696.00,138.00,1653.00,0.00,0.00,
