Link 3 is disabled
Link 3 is disabled
Time elapsed: 1003 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
*,0.32,84421412763.00,260766959455.00,246368657568.00,71161.00,152684.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6011401448.00,2999846173.00,2199887184.00,749.00,1257.00,0.00,0.00,
38,2.01,6023043849.00,2999844882.00,2199886304.00,421.00,1480.00,0.00,0.00,
39,2.00,6012323598.00,2999844299.00,2199885864.00,559.00,1462.00,0.00,0.00,
40,2.01,6022290949.00,2999841810.00,2199884016.00,663.00,1798.00,0.00,0.00,
51,2.35,7035443694.00,2999852702.00,2199891936.00,582.00,1742.00,0.00,0.00,
52,2.34,7030401243.00,2999855067.00,2199893784.00,579.00,1759.00,0.00,0.00,
53,2.35,7036366126.00,2999863500.00,2199899856.00,419.00,1757.00,0.00,0.00,
54,2.34,7028313999.00,2999852301.00,2199891672.00,707.00,1629.00,0.00,0.00,
*,0.32,84432608541.00,260785871366.00,246386716840.00,64943.00,152388.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5999570358.00,3000050570.00,2200037048.00,708.00,1285.00,0.00,0.00,
38,2.01,6034553697.00,3000053189.00,2200038984.00,398.00,1554.00,0.00,0.00,
39,2.00,6004906681.00,3000051763.00,2200037928.00,572.00,1482.00,0.00,0.00,
40,2.01,6021733646.00,3000059086.00,2200043296.00,618.00,1748.00,0.00,0.00,
51,2.35,7037881884.00,3000057473.00,2200042152.00,439.00,1666.00,0.00,0.00,
52,2.34,7034550852.00,3000081919.00,2200060016.00,540.00,1824.00,0.00,0.00,
53,2.35,7038791051.00,3000074646.00,2200054736.00,488.00,1766.00,0.00,0.00,
54,2.35,7040795052.00,3000073360.00,2200053768.00,495.00,1679.00,0.00,0.00,
*,0.32,84448010221.00,260803589699.00,246403412552.00,57559.00,147900.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6013381312.00,3000014310.00,2200010560.00,529.00,1252.00,0.00,0.00,
38,2.01,6023543632.00,3000011559.00,2200008448.00,292.00,1504.00,0.00,0.00,
39,2.00,6008604273.00,3000010610.00,2200007744.00,543.00,1625.00,0.00,0.00,
40,2.01,6029048047.00,3000010481.00,2200007656.00,600.00,1856.00,0.00,0.00,
51,2.35,7038232988.00,3000004312.00,2200003168.00,452.00,1754.00,0.00,0.00,
52,2.34,7030620528.00,2999980335.00,2199985568.00,425.00,1872.00,0.00,0.00,
53,2.34,7033702794.00,2999978710.00,2199984424.00,495.00,1762.00,0.00,0.00,
54,2.34,7033700288.00,2999978121.00,2199983984.00,571.00,1652.00,0.00,0.00,
*,0.32,84441444060.00,260802773330.00,246402575408.00,57154.00,147962.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5999693472.00,2999606738.00,2199711624.00,547.00,1311.00,0.00,0.00,
38,2.01,6028457554.00,2999606065.00,2199711096.00,348.00,1455.00,0.00,0.00,
39,2.00,6012285378.00,2999608272.00,2199712768.00,385.00,1536.00,0.00,0.00,
40,2.01,6020411675.00,2999601862.00,2199708104.00,626.00,1840.00,0.00,0.00,
51,2.35,7037318595.00,2999614622.00,2199717432.00,416.00,1726.00,0.00,0.00,
52,2.34,7029771718.00,2999609712.00,2199713824.00,596.00,1849.00,0.00,0.00,
53,2.35,7036558423.00,2999613462.00,2199716552.00,574.00,1724.00,0.00,0.00,
54,2.35,7035760960.00,2999618081.00,2199719984.00,546.00,1595.00,0.00,0.00,
*,0.32,84487781195.00,260765433593.00,246367241032.00,74102.00,164292.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6009403717.00,2999544851.00,2199666216.00,749.00,1279.00,0.00,0.00,
