Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7036960308.00,3002781553.00,2202039752.00,145.00,2164.00,10456.00,0.00,
52,2.34,7038190885.00,3002782916.00,2202040720.00,154.00,2289.00,8471.00,0.00,
53,2.35,7045555509.00,3002779759.00,2202038432.00,139.00,2219.00,16496.00,0.00,
54,2.35,7047663460.00,3002777453.00,2202036760.00,145.00,2246.00,12185.00,0.00,
*,0.32,82901737942.00,259442110714.00,246630178608.00,43937.00,144975.00,2540267.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4979433756.00,3002771009.00,2202032008.00,326.00,15391.00,1538101.00,0.00,
38,1.66,4971214341.00,3002776453.00,2202036056.00,197.00,16351.00,1557531.00,0.00,
39,1.65,4950801676.00,3002776700.00,2202036320.00,226.00,15471.00,1473780.00,0.00,
40,1.66,4973547021.00,3002777389.00,2202036760.00,153.00,16728.00,1681498.00,0.00,
51,1.98,5939274816.00,3002778228.00,2202037376.00,242.00,14566.00,1045465.00,0.00,
52,1.98,5937490416.00,3002776440.00,2202036056.00,238.00,17169.00,1073954.00,0.00,
53,1.98,5945902220.00,3002775914.00,2202035704.00,210.00,14184.00,1143308.00,0.00,
54,1.97,5919611757.00,3002773353.00,2202033856.00,223.00,17066.00,1096001.00,0.00,
*,0.29,75682992792.00,259439537480.00,246627703256.00,41908.00,291007.00,17451607.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5988708332.00,3002779303.00,2202038168.00,251.00,1415.00,4825618.00,0.00,
38,1.97,5926873133.00,3002780137.00,2202038696.00,131.00,1529.00,4797573.00,0.00,
39,2.00,5991281688.00,3002776010.00,2202035704.00,136.00,1697.00,4575856.00,0.00,
40,2.00,5995934341.00,3002778757.00,2202037728.00,127.00,1738.00,4679502.00,0.00,
