Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.35,7038884133.00,2999825161.00,2199871784.00,76.00,2157.00,12073.00,0.00,
52,2.35,7038793310.00,2999823045.00,2199870288.00,74.00,2312.00,8290.00,0.00,
53,2.35,7042025920.00,2999828975.00,2199874512.00,82.00,2312.00,9354.00,0.00,
54,2.35,7039951184.00,2999827250.00,2199873280.00,91.00,2359.00,9961.00,0.00,
*,0.32,82685949987.00,259185895598.00,246386596280.00,62960.00,131275.00,3299991.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.67,5001594510.00,2999877664.00,2199910240.00,372.00,13570.00,1664504.00,0.00,
38,1.67,5005444682.00,2999881739.00,2199913232.00,154.00,12926.00,1740091.00,0.00,
39,1.67,5000847560.00,2999884020.00,2199914904.00,135.00,13504.00,1669714.00,0.00,
40,1.67,5016235598.00,2999870475.00,2199905048.00,102.00,12527.00,1730585.00,0.00,
51,1.99,5967424651.00,2999883001.00,2199914200.00,182.00,13572.00,1158775.00,0.00,
52,1.98,5934289022.00,2999875348.00,2199908568.00,212.00,13546.00,1038833.00,0.00,
53,1.99,5972537083.00,2999875613.00,2199908832.00,208.00,11588.00,1078069.00,0.00,
54,1.99,5968088962.00,2999877840.00,2199910504.00,150.00,12828.00,1101799.00,0.00,
*,0.29,75888203079.00,259189863358.00,246390358280.00,43843.00,261260.00,18600991.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980071186.00,2999829024.00,2199874600.00,177.00,1450.00,4797476.00,0.00,
38,1.98,5925299760.00,2999828293.00,2199874072.00,68.00,1595.00,4747928.00,0.00,
39,2.00,5987602563.00,2999828258.00,2199874072.00,79.00,1706.00,4681428.00,0.00,
40,2.00,5996674099.00,2999837888.00,2199881112.00,58.00,1692.00,4773497.00,0.00,
51,2.35,7035759175.00,2999834725.00,2199878824.00,61.00,1394.00,9204.00,0.00,
52,2.26,6778540233.00,2999839280.00,2199882080.00,72.00,1594.00,9441.00,0.00,
53,2.35,7034871694.00,2999841870.00,2199884016.00,77.00,1553.00,10998.00,0.00,
54,2.34,7033867385.00,2999836544.00,2199880056.00,80.00,1571.00,8738.00,0.00,
*,0.32,83758449152.00,259184566306.00,246385363400.00,35223.00,130906.00,21546574.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5978501652.00,2999764399.00,2199827168.00,208.00,1384.00,4806258.00,0.00,
38,1.98,5926763636.00,2999764035.00,2199826992.00,72.00,1476.00,4762288.00,0.00,
39,2.00,5986658884.00,2999764457.00,2199827344.00,63.00,1605.00,4646064.00,0.00,
40,2.00,5992135114.00,2999764384.00,2199827168.00,70.00,1680.00,4745957.00,0.00,
51,2.35,7038078676.00,2999761997.00,2199825408.00,56.00,1395.00,7705.00,0.00,
52,2.27,6803517898.00,2999762217.00,2199825672.00,66.00,1597.00,9860.00,0.00,
53,2.35,7042867369.00,2999759340.00,2199823472.00,75.00,1596.00,8154.00,0.00,
54,2.35,7035225228.00,2999763483.00,2199826552.00,54.00,1601.00,8729.00,0.00,
*,0.32,83791305823.00,259179921864.00,246380921776.00,31938.00,126272.00,21460755.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5972964738.00,2999969007.00,2199977296.00,185.00,1495.00,4799547.00,0.00,
38,1.98,5925301150.00,2999975301.00,2199981872.00,901.00,3411.00,4789127.00,0.00,
39,2.00,5988073615.00,2999972221.00,2199979584.00,70.00,1665.00,4578114.00,0.00,
40,2.00,5992970312.00,2999966844.00,2199975712.00,63.00,1757.00,4747376.00,0.00,
51,2.35,7035585369.00,2999964617.00,2199974040.00,66.00,1390.00,8874.00,0.00,
52,2.30,6912390030.00,2999964816.00,2199974216.00,66.00,1641.00,8696.00,0.00,
53,2.35,7040556117.00,2999965708.00,2199974920.00,63.00,1628.00,16290.00,0.00,
54,2.34,7031204774.00,2999964082.00,2199973688.00,57.00,1650.00,8204.00,0.00,
*,0.32,83893596355.00,259196802827.00,246396953704.00,34984.00,132009.00,21543342.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
