Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
51,2.34,7029849239.00,2999669062.00,2199757296.00,158.00,2257.00,8013.00,0.00,
52,2.34,7032628463.00,2999669893.00,2199757912.00,144.00,2267.00,6441.00,0.00,
53,2.35,7042081652.00,2999673412.00,2199760552.00,151.00,2501.00,11771.00,0.00,
54,2.34,7032252146.00,2999668505.00,2199756856.00,153.00,2184.00,9370.00,0.00,
*,0.32,82855537427.00,259172567383.00,246373918032.00,48086.00,144061.00,2479718.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.66,4982104588.00,2999699539.00,2199779824.00,471.00,15916.00,1503320.00,0.00,
38,1.66,4974454346.00,2999706207.00,2199784576.00,168.00,16063.00,1594392.00,0.00,
39,1.66,4971399017.00,2999698797.00,2199779120.00,139.00,15100.00,1582839.00,0.00,
40,1.66,4980212802.00,2999704373.00,2199783256.00,172.00,16295.00,1539277.00,0.00,
51,1.98,5942369096.00,2999704409.00,2199783256.00,260.00,14608.00,1046674.00,0.00,
52,1.98,5943646349.00,2999703368.00,2199782464.00,252.00,14758.00,1083668.00,0.00,
53,1.98,5946758310.00,2999697455.00,2199778152.00,225.00,17462.00,1107927.00,0.00,
54,1.98,5939781927.00,2999696286.00,2199777272.00,164.00,16623.00,1038670.00,0.00,
*,0.29,75706170143.00,259173695357.00,246375010816.00,40698.00,288197.00,17340657.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981610370.00,2999684786.00,2199768648.00,397.00,1356.00,4799110.00,0.00,
38,1.97,5920678408.00,2999689742.00,2199772432.00,130.00,1519.00,4796303.00,0.00,
39,2.00,5985576035.00,2999692242.00,2199774280.00,119.00,1669.00,4616216.00,0.00,
40,2.00,5985536010.00,2999687293.00,2199770672.00,131.00,1696.00,4549897.00,0.00,
51,2.34,7032706943.00,2999692711.00,2199774632.00,129.00,1543.00,4604.00,0.00,
52,2.34,7033968268.00,2999695145.00,2199776480.00,114.00,1534.00,5834.00,0.00,
53,2.35,7035589177.00,2999698534.00,2199778856.00,132.00,1636.00,9642.00,0.00,
54,2.34,7026409823.00,2999701840.00,2199781320.00,131.00,1490.00,7159.00,0.00,
*,0.32,84003068421.00,259174251894.00,246375518752.00,28312.00,135713.00,20566070.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981175017.00,2999666997.00,2199755800.00,391.00,1299.00,4796101.00,0.00,
38,1.97,5923684341.00,2999660677.00,2199751224.00,117.00,1388.00,4795269.00,0.00,
39,2.00,5985135911.00,2999659636.00,2199750344.00,119.00,1595.00,4605423.00,0.00,
40,2.00,5988398232.00,2999661471.00,2199751664.00,124.00,1624.00,4554987.00,0.00,
51,2.34,7031724017.00,2999657110.00,2199748496.00,121.00,1472.00,4070.00,0.00,
52,2.34,7031984960.00,2999654427.00,2199746560.00,120.00,1442.00,5422.00,0.00,
53,2.35,7039203671.00,2999652132.00,2199744888.00,122.00,1572.00,9106.00,0.00,
54,2.34,7029480592.00,2999652461.00,2199745152.00,129.00,1444.00,9525.00,0.00,
*,0.32,84004519793.00,259173307790.00,246374610328.00,24522.00,126424.00,20622623.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5980481808.00,2999865194.00,2199901176.00,327.00,1403.00,4798347.00,0.00,
38,1.97,5919159153.00,2999868584.00,2199903640.00,982.00,3337.00,4804426.00,0.00,
39,1.99,5983970392.00,2999865977.00,2199901792.00,127.00,1779.00,4602276.00,0.00,
40,2.00,5985662023.00,2999866302.00,2199901968.00,131.00,1831.00,4539086.00,0.00,
51,2.34,7029363607.00,2999870371.00,2199904960.00,144.00,1644.00,8713.00,0.00,
52,2.34,7033382218.00,2999869954.00,2199904608.00,128.00,1652.00,7976.00,0.00,
53,2.35,7039810656.00,2999867873.00,2199903112.00,123.00,1783.00,10448.00,0.00,
54,2.34,7024162401.00,2999872135.00,2199906280.00,141.00,1680.00,9725.00,0.00,
*,0.32,83995864800.00,259185884768.00,246386588096.00,24866.00,134104.00,20594419.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977212987.00,2999687072.00,2199770496.00,310.00,1324.00,4788224.00,0.00,
38,1.97,5920597443.00,2999685414.00,2199769264.00,117.00,1437.00,4795456.00,0.00,
39,2.00,5990127755.00,2999688558.00,2199771552.00,117.00,1602.00,4616481.00,0.00,
40,2.00,5987047152.00,2999689944.00,2199772608.00,120.00,1648.00,4536583.00,0.00,
51,2.35,7035631982.00,2999688017.00,2199771200.00,130.00,1497.00,5725.00,0.00,
52,2.34,7031916238.00,2999687382.00,2199770760.00,121.00,1507.00,5729.00,0.00,
53,2.35,7041698059.00,2999688615.00,2199771640.00,126.00,1620.00,8685.00,0.00,
54,2.34,7030752364.00,2999683732.00,2199768032.00,117.00,1499.00,7727.00,0.00,
*,0.32,84123277273.00,259173275751.00,246374614112.00,61773.00,166147.00,24869997.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981532190.00,3002726917.00,2201999800.00,273.00,1308.00,4781353.00,0.00,
38,1.97,5923751838.00,3002729045.00,2202001296.00,118.00,1410.00,4794094.00,0.00,
39,1.99,5989246698.00,3002726661.00,2201999624.00,129.00,1563.00,4614019.00,0.00,
40,2.00,5990885341.00,3002729170.00,2202001472.00,123.00,1621.00,4546305.00,0.00,
51,2.34,7035397769.00,3002743573.00,2202011944.00,133.00,1439.00,5667.00,0.00,
52,2.35,7042024783.00,3002742810.00,2202011416.00,116.00,1468.00,6124.00,0.00,
53,2.35,7041963210.00,3002743745.00,2202012120.00,125.00,1594.00,9702.00,0.00,
54,2.34,7037987308.00,3002747017.00,2202014496.00,127.00,1434.00,7424.00,0.00,
*,0.32,84071514537.00,259435766751.00,246624105376.00,25424.00,134296.00,20613333.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5981561065.00,3002648285.00,2201942072.00,260.00,1335.00,4786155.00,0.00,
38,1.97,5927463131.00,3002646242.00,2201940576.00,112.00,2108.00,4794012.00,0.00,
39,2.00,5994734096.00,3002649908.00,2201943216.00,127.00,1575.00,4643633.00,0.00,
40,2.00,5994068895.00,3002648293.00,2201942072.00,114.00,1637.00,4570950.00,0.00,
51,2.34,7035526150.00,3002628998.00,2201927992.00,115.00,1515.00,6039.00,0.00,
52,2.34,7037664434.00,3002633505.00,2201931248.00,115.00,1480.00,6615.00,0.00,
53,2.35,7043546392.00,3002632908.00,2201930808.00,115.00,1625.00,11502.00,0.00,
54,2.34,7039405766.00,3002631110.00,2201929488.00,127.00,1486.00,11148.00,0.00,
*,0.32,84081971496.00,259428535194.00,246617264608.00,24914.00,130490.00,20659962.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5979985095.00,2999680564.00,2199765744.00,254.00,1309.00,4803231.00,0.00,
38,1.97,5920212326.00,2999679894.00,2199765304.00,123.00,1427.00,4806263.00,0.00,
39,2.00,5988295386.00,2999678927.00,2199764600.00,128.00,1643.00,4613281.00,0.00,
40,2.00,5986768417.00,2999678650.00,2199764336.00,124.00,1603.00,4519000.00,0.00,
51,2.34,7030488600.00,2999684257.00,2199768384.00,136.00,1448.00,5979.00,0.00,
