Link 3 is disabled
Link 3 is disabled
Time elapsed: 1004 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
*,0.32,84434920600.00,260803434771.00,246403263392.00,77180.00,150901.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6006549341.00,2999643285.00,2199738464.00,802.00,1526.00,0.00,0.00,
38,2.00,6013769263.00,2999641692.00,2199737232.00,378.00,1705.00,0.00,0.00,
39,2.00,6001504189.00,2999641403.00,2199737056.00,479.00,1739.00,0.00,0.00,
40,2.00,6003882290.00,2999641888.00,2199737320.00,396.00,1720.00,0.00,0.00,
51,2.35,7034724368.00,2999660641.00,2199751224.00,423.00,1690.00,0.00,0.00,
52,2.34,7033115517.00,2999659121.00,2199749992.00,580.00,1632.00,0.00,0.00,
53,2.35,7040356468.00,2999668006.00,2199756592.00,662.00,1697.00,0.00,0.00,
54,2.35,7036802782.00,2999704120.00,2199783080.00,331.00,1590.00,0.00,0.00,
*,0.32,84400228177.00,260772527033.00,246374003744.00,61688.00,145917.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6004438488.00,2999910633.00,2199934440.00,676.00,1457.00,0.00,0.00,
38,2.00,6004753186.00,2999911843.00,2199935320.00,536.00,1797.00,0.00,0.00,
39,2.00,6003395099.00,2999910592.00,2199934440.00,582.00,1685.00,0.00,0.00,
40,2.00,6012614477.00,2999907286.00,2199932064.00,438.00,1776.00,0.00,0.00,
51,2.35,7040266254.00,2999899365.00,2199926168.00,383.00,1658.00,0.00,0.00,
52,2.35,7037361666.00,2999905999.00,2199931096.00,490.00,1692.00,0.00,0.00,
53,2.35,7037132998.00,2999904034.00,2199929600.00,457.00,1649.00,0.00,0.00,
54,2.34,7034336055.00,2999868565.00,2199903552.00,572.00,1639.00,0.00,0.00,
*,0.32,84408606513.00,260789667929.00,246390267376.00,63922.00,151477.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5999855332.00,2999888098.00,2199917896.00,654.00,1507.00,0.00,0.00,
38,2.00,6008306090.00,2999885388.00,2199916048.00,439.00,1751.00,0.00,0.00,
39,2.00,5995626226.00,2999884415.00,2199915256.00,445.00,1720.00,0.00,0.00,
40,2.00,6008024289.00,2999887395.00,2199917368.00,710.00,1791.00,0.00,0.00,
51,2.35,7036403897.00,2999884114.00,2199914992.00,583.00,1693.00,0.00,0.00,
52,2.34,7034368208.00,2999888562.00,2199918248.00,427.00,1701.00,0.00,0.00,
53,2.35,7039844040.00,2999884670.00,2199915432.00,489.00,1793.00,0.00,0.00,
