"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",100000,100000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13933,0,56150,"",0,88374,63505,142070,"00:00:00.102","00:00:50.101"
"Traffic Item 2",84556248,84556110,138,0.000,1409774.500,1409767.000,6000000272.000,721804544.000,5774436352.000,5774436.352,5774.436,7884,0,52362,9623,82941152,88819,63960,174575,"00:00:00.102","00:01:00.080"
"Traffic Item 3",84556248,84556110,138,0.000,1409774.000,1409766.500,5999998144.000,721804288.000,5774434304.000,5774434.304,5774.434,6035,0,52382,6689,82980611,89034,63162,182387,"00:00:00.102","00:01:00.080"
"Traffic Item 4",84556249,84556110,139,0.000,1409774.500,1409766.500,6000000272.000,721804544.000,5774436352.000,5774436.352,5774.436,3900,0,52555,6206,82932517,89158,63652,184220,"00:00:00.102","00:01:00.080"
