"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",100000,100000,0,0.000,0.000,0.000,0.000,0.000,17800000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,84600,62685,143772,"00:00:00.098","00:00:50.098"
"Traffic Item 2",81740344,81740226,118,0.000,1409774.500,1409775.000,6000000272.000,6000002400.000,41850995712,721804544.000,721804800.000,5774436352.000,5774438400.000,5774436.352,5774438.400,5774.436,5774.438,87073,57645,262235,"00:00:00.098","00:00:58.079"
"Traffic Item 3",81740344,81740226,118,0.000,1409774.500,1409774.500,6000000272.000,6000000272.000,41850995712,721804544.000,721804544.000,5774436352.000,5774436352.000,5774436.352,5774436.352,5774.436,5774.436,87277,57772,262685,"00:00:00.098","00:00:58.079"
"Traffic Item 4",81740344,81740226,118,0.000,1409774.500,1409774.500,6000000272.000,6000000272.000,41850995712,721804544.000,721804544.000,5774436352.000,5774436352.000,5774436.352,5774436.352,5774.436,5774.436,87407,55985,262915,"00:00:00.098","00:00:58.079"
