"Traffic Item","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Tx Rate (Bps)","Tx Rate (bps)","Tx Rate (Kbps)","Tx Rate (Mbps)","Avg Delay Variation (ns)","Min Delay Variation (ns)","Max Delay Variation (ns)","Short Term Avg Delay Variation (ns)","Total Sequence Errors","Cut-Through Avg Latency (ns)","Cut-Through Min Latency (ns)","Cut-Through Max Latency (ns)","First TimeStamp","Last TimeStamp"
"Traffic Item 1",73130393,73130393,0,0.000,156740.000,156814.500,667085440.000,80250880.000,642007040.000,642007.040,642.007,7143,0,61697,7372,70817536,107988,70195,16419157,"00:00:00.137","00:01:02.402"
"Traffic Item 2",73130393,73130393,0,0.000,156740.000,156814.500,667085440.000,80250880.000,642007040.000,642007.040,642.007,7184,0,61705,7414,70817536,108312,70530,16419282,"00:00:00.137","00:01:02.402"
"Traffic Item 3",73130393,73130393,0,0.000,156740.000,156814.500,667085440.000,80250880.000,642007040.000,642007.040,642.007,7033,0,61912,7234,70801518,108745,70722,16419752,"00:00:00.137","00:01:02.402"
"Traffic Item 4",73130393,73130393,0,0.000,156740.000,156814.500,667085440.000,80250880.000,642007040.000,642007.040,642.007,7127,7,62282,7329,70803370,109361,71152,16419877,"00:00:00.137","00:01:02.402"
