Link 3 is disabled
Link 3 is disabled
Time elapsed: 1003 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6031201607.00,3009566742.00,2207015624.00,932.00,1803.00,0.00,0.00,
38,2.00,6024953798.00,3009564950.00,2207014304.00,501.00,1919.00,0.00,0.00,
39,2.00,6024709303.00,3009561083.00,2207011488.00,509.00,2118.00,0.00,0.00,
40,2.00,6025952913.00,3009561392.00,2207011664.00,639.00,2178.00,0.00,0.00,
51,2.35,7062768070.00,3009558487.00,2207009552.00,691.00,2104.00,0.00,0.00,
52,2.34,7045682456.00,3009556163.00,2207007880.00,650.00,1961.00,0.00,0.00,
53,2.34,7055941616.00,3009552441.00,2207005064.00,731.00,2042.00,0.00,0.00,
54,2.35,7057703895.00,3009549918.00,2207003304.00,761.00,1879.00,0.00,0.00,
*,0.32,84719281842.00,261629796918.00,247184112120.00,179788.00,647740.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6005283535.00,2999626707.00,2199726232.00,582.00,1617.00,0.00,0.00,
38,2.00,6011793013.00,2999626779.00,2199726320.00,449.00,1703.00,0.00,0.00,
39,2.00,6000104831.00,2999628433.00,2199727552.00,599.00,1931.00,0.00,0.00,
40,2.00,6009639991.00,2999626098.00,2199725792.00,504.00,1909.00,0.00,0.00,
51,2.35,7040720677.00,2999618781.00,2199720424.00,476.00,1821.00,0.00,0.00,
52,2.34,7025570337.00,2999620902.00,2199722008.00,619.00,1757.00,0.00,0.00,
53,2.34,7032884404.00,2999626459.00,2199726144.00,491.00,1815.00,0.00,0.00,
54,2.34,7028687180.00,2999625657.00,2199725528.00,439.00,1695.00,0.00,0.00,
*,0.32,84386854160.00,260768105596.00,246369863872.00,67051.00,149269.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6005108310.00,3000274305.00,2200201168.00,817.00,1577.00,0.00,0.00,
38,2.00,6006747868.00,3000273358.00,2200200464.00,417.00,1640.00,0.00,0.00,
39,2.00,6003818204.00,3000287700.00,2200210936.00,436.00,1781.00,0.00,0.00,
40,2.00,6000588710.00,3000289734.00,2200212520.00,545.00,1989.00,0.00,0.00,
51,2.35,7045442654.00,3000286143.00,2200209880.00,476.00,1794.00,0.00,0.00,
52,2.34,7033612133.00,3000290192.00,2200212784.00,444.00,1729.00,0.00,0.00,
53,2.35,7036533921.00,3000285581.00,2200209352.00,426.00,1814.00,0.00,0.00,
54,2.34,7033034339.00,3000282588.00,2200207152.00,646.00,1715.00,0.00,0.00,
*,0.32,84402549467.00,260823674182.00,246422434896.00,64601.00,146019.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6005851723.00,3000323873.00,2200237600.00,1203.00,1804.00,0.00,0.00,
38,2.00,6014261271.00,3000324066.00,2200237600.00,469.00,1723.00,0.00,0.00,
39,2.00,6005186248.00,3000313912.00,2200230208.00,364.00,1772.00,0.00,0.00,
40,2.00,6007759324.00,3000310321.00,2200227568.00,560.00,1974.00,0.00,0.00,
51,2.35,7041677905.00,3000313673.00,2200230032.00,533.00,1873.00,0.00,0.00,
52,2.34,7035560602.00,3000309463.00,2200226952.00,499.00,1799.00,0.00,0.00,
53,2.34,7033493110.00,3000316023.00,2200231792.00,406.00,1886.00,0.00,0.00,
54,2.34,7035357145.00,3000320345.00,2200234960.00,433.00,1762.00,0.00,0.00,
*,0.32,84466681293.00,260828308094.00,246426747776.00,134298.00,425675.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6008826525.00,3002311725.00,2201695144.00,636.00,1512.00,0.00,0.00,
38,2.00,6008014617.00,3002309974.00,2201694000.00,523.00,1675.00,0.00,0.00,
39,2.00,6008979994.00,3002310733.00,2201694528.00,541.00,1776.00,0.00,0.00,
40,2.00,6007470829.00,3002310137.00,2201694088.00,487.00,1986.00,0.00,0.00,
51,2.35,7049549923.00,3002321046.00,2201702096.00,536.00,1793.00,0.00,0.00,
52,2.34,7040296216.00,3002318500.00,2201700248.00,641.00,1972.00,0.00,0.00,
53,2.35,7044042446.00,3002311104.00,2201694792.00,706.00,1767.00,0.00,0.00,
54,2.34,7037956782.00,3002310511.00,2201694352.00,702.00,1641.00,0.00,0.00,
*,0.32,84457181161.00,260999457489.00,246588439592.00,62875.00,150118.00,0.00,0.00,

